app_id,v_val,i_val,p_val,pf_val
CFLTwoYearWatt,121.300003,0.211,13,0.542
CFLTwoYearWatt,121.800003,0.211,13,0.539
CFLTwoYearWatt,120.599998,0.208,13,0.554
CFLTwoYearWatt,119.900002,0.208,14,0.563
CFLTwoYearWatt,120.800003,0.211,14,0.55
CFLTwoYearWatt,121.400002,0.212,13,0.537
CFLTwoYearWatt,122,0.212,13,0.534
CFLTwoYearWatt,121.5,0.211,13,0.542
CFLTwoYearWatt,120,0.21,13,0.555
CFLTwoYearWatt,120.400002,0.21,13,0.552
CFLTwoYearWatt,121.400002,0.21,13,0.546
CFLTwoYearWatt,122.099998,0.212,13,0.534
CFLTwoYearWatt,122.099998,0.211,13,0.538
CFLTwoYearWatt,121.400002,0.209,13,0.546
CFLTwoYearWatt,121.199997,0.211,13,0.542
CFLTwoYearWatt,121,0.212,13,0.542
CFLTwoYearWatt,120.099998,0.213,13,0.546
CFLTwoYearWatt,121.599998,0.215,13,0.532
CFLTwoYearWatt,122.199997,0.214,13,0.53
CFLTwoYearWatt,121.900002,0.211,13,0.539
CFLTwoYearWatt,121,0.21,13,0.545
CFLTwoYearWatt,120.5,0.209,13,0.552
CFLTwoYearWatt,120.900002,0.209,13,0.547
CFLTwoYearWatt,120.5,0.21,13,0.55
CFLTwoYearWatt,121,0.211,13,0.543
CFLTwoYearWatt,121.900002,0.211,13,0.54
CFLTwoYearWatt,122.099998,0.21,13,0.541
CFLTwoYearWatt,121.699997,0.207,13,0.549
CFLTwoYearWatt,121.5,0.207,13,0.551
CFLTwoYearWatt,120.400002,0.208,13,0.554
CFLTwoYearWatt,119.800003,0.209,13,0.557
CFLTwoYearWatt,119.800003,0.211,13,0.549
CFLTwoYearWatt,119.699997,0.212,13,0.544
CFLTwoYearWatt,119.800003,0.214,13,0.542
CFLTwoYearWatt,120.699997,0.214,13,0.54
CFLTwoYearWatt,121.5,0.212,13,0.541
CFLTwoYearWatt,121.400002,0.21,13,0.545
CFLTwoYearWatt,120.800003,0.208,13,0.55
CFLTwoYearWatt,120.800003,0.21,13,0.548
CFLTwoYearWatt,120.699997,0.212,13,0.544
CFLTwoYearWatt,121.599998,0.213,13,0.536
CFLTwoYearWatt,121.099998,0.21,13,0.547
CFLTwoYearWatt,119.800003,0.211,14,0.553
CFLTwoYearWatt,120.5,0.213,13,0.543
CFLTwoYearWatt,121,0.211,13,0.545
CFLTwoYearWatt,120.800003,0.213,13,0.54
CFLTwoYearWatt,121.099998,0.212,13,0.54
CFLTwoYearWatt,121.099998,0.211,13,0.547
CFLTwoYearWatt,121.300003,0.211,14,0.548
CFLTwoYearWatt,122.400002,0.212,14,0.539
CFLTwoYearWatt,120.300003,0.211,13,0.549
CFLTwoYearWatt,120.199997,0.21,13,0.551
CFLTwoYearWatt,120.5,0.21,13,0.548
CFLTwoYearWatt,121,0.212,13,0.537
CFLTwoYearWatt,121.5,0.213,13,0.535
CFLTwoYearWatt,121.199997,0.214,13,0.534
CFLTwoYearWatt,122.300003,0.213,13,0.53
CFLTwoYearWatt,122,0.209,13,0.541
CFLTwoYearWatt,121.400002,0.208,13,0.546
CFLTwoYearWatt,120.099998,0.21,13,0.551
CFLTwoYearWatt,119.800003,0.211,13,0.553
CFLTwoYearWatt,120.699997,0.209,13,0.549
CFLTwoYearWatt,120.599998,0.211,13,0.548
CFLTwoYearWatt,120,0.212,14,0.55
CFLTwoYearWatt,120.400002,0.214,13,0.541
CFLTwoYearWatt,120.699997,0.213,13,0.539
CFLTwoYearWatt,121.099998,0.212,13,0.541
CFLTwoYearWatt,121.400002,0.214,13,0.532
CFLTwoYearWatt,121.099998,0.213,13,0.537
CFLTwoYearWatt,120.800003,0.21,13,0.547
CFLTwoYearWatt,120.199997,0.208,13,0.556
CFLTwoYearWatt,120,0.209,13,0.553
CFLTwoYearWatt,121.099998,0.212,13,0.537
CFLTwoYearWatt,122.099998,0.213,13,0.534
CFLTwoYearWatt,121.800003,0.212,13,0.54
CFLTwoYearWatt,120.199997,0.207,13,0.558
CFLTwoYearWatt,119.900002,0.211,13,0.547
CFLTwoYearWatt,119.900002,0.214,13,0.539
CFLTwoYearWatt,121,0.214,13,0.536
CFLTwoYearWatt,122,0.211,13,0.537
CFLTwoYearWatt,121.5,0.21,13,0.542
CFLTwoYearWatt,121.099998,0.211,13,0.541
CFLTwoYearWatt,120.199997,0.209,13,0.552
CFLTwoYearWatt,120.5,0.209,13,0.552
CFLTwoYearWatt,120.800003,0.212,13,0.541
CFLTwoYearWatt,121.300003,0.214,13,0.532
CFLTwoYearWatt,121.599998,0.214,13,0.532
CFLTwoYearWatt,122.099998,0.21,13,0.541
CFLTwoYearWatt,121.699997,0.212,13,0.534
CFLTwoYearWatt,121.699997,0.213,13,0.532
CFLTwoYearWatt,121.300003,0.213,13,0.537
CFLTwoYearWatt,121,0.214,13,0.534
CFLTwoYearWatt,121.199997,0.215,13,0.533
CFLTwoYearWatt,121.300003,0.213,13,0.536
CFLTwoYearWatt,121.199997,0.213,13,0.538
CFLTwoYearWatt,120.300003,0.21,13,0.547
CFLTwoYearWatt,119.900002,0.21,13,0.547
CFLTwoYearWatt,119.800003,0.209,13,0.549
CFLTwoYearWatt,120.900002,0.212,13,0.54
CFLTwoYearWatt,119.599998,0.211,13,0.549
CFLTwoYearWatt,119.800003,0.211,13,0.547
CFLTwoYearWatt,121.5,0.212,13,0.54
CFLTwoYearWatt,121.300003,0.21,13,0.545
CFLTwoYearWatt,120.900002,0.208,13,0.549
CFLTwoYearWatt,120.800003,0.209,13,0.549
CFLTwoYearWatt,120.400002,0.21,13,0.547
CFLTwoYearWatt,120.599998,0.211,13,0.541
CFLTwoYearWatt,120.900002,0.211,13,0.543
CFLTwoYearWatt,121.800003,0.207,13,0.543
CFLTwoYearWatt,120.800003,0.206,13,0.552
CFLTwoYearWatt,119.599998,0.209,13,0.552
CFLTwoYearWatt,120.699997,0.21,13,0.538
CFLTwoYearWatt,121.199997,0.212,13,0.533
CFLTwoYearWatt,121,0.211,13,0.538
CFLTwoYearWatt,119.400002,0.21,13,0.55
CFLTwoYearWatt,120,0.212,13,0.543
CFLTwoYearWatt,120.699997,0.212,13,0.541
CFLTwoYearWatt,121.099998,0.21,13,0.544
CFLTwoYearWatt,120.400002,0.209,13,0.551
CFLTwoYearWatt,120.699997,0.209,13,0.546
CFLTwoYearWatt,121.5,0.213,13,0.533
CFLTwoYearWatt,121.800003,0.211,13,0.537
CFLTwoYearWatt,121.300003,0.211,13,0.54
CFLTwoYearWatt,120,0.212,13,0.54
CFLTwoYearWatt,120.699997,0.214,13,0.533
CFLTwoYearWatt,121.300003,0.212,13,0.538
CFLTwoYearWatt,121.199997,0.21,13,0.541
CFLTwoYearWatt,119.900002,0.209,13,0.551
CFLTwoYearWatt,119.599998,0.208,13,0.555
CFLTwoYearWatt,119.699997,0.209,13,0.553
CFLTwoYearWatt,120.400002,0.211,13,0.544
CFLTwoYearWatt,121.199997,0.211,13,0.542
CFLTwoYearWatt,122.099998,0.21,13,0.538
CFLTwoYearWatt,122.099998,0.212,13,0.534
CFLTwoYearWatt,120.800003,0.211,13,0.545
CFLTwoYearWatt,120,0.208,13,0.552
CFLTwoYearWatt,119.599998,0.208,13,0.556
CFLTwoYearWatt,119.900002,0.211,13,0.549
CFLTwoYearWatt,121.099998,0.211,13,0.544
CFLTwoYearWatt,121.400002,0.21,13,0.543
CFLTwoYearWatt,121.199997,0.211,13,0.541
CFLTwoYearWatt,121.099998,0.209,13,0.551
CFLTwoYearWatt,120.099998,0.208,13,0.556
CFLTwoYearWatt,119.199997,0.208,13,0.557
CFLTwoYearWatt,119.900002,0.21,13,0.546
CFLTwoYearWatt,120.800003,0.211,13,0.538
CFLTwoYearWatt,121,0.213,13,0.533
CFLTwoYearWatt,121.300003,0.21,13,0.54
CFLTwoYearWatt,121,0.208,13,0.544
CFLTwoYearWatt,120.199997,0.21,13,0.544
CFLTwoYearWatt,119.900002,0.21,13,0.548
CFLTwoYearWatt,120.5,0.212,13,0.54
CFLTwoYearWatt,119.800003,0.213,13,0.544
CFLTwoYearWatt,120.400002,0.213,13,0.54
CFLTwoYearWatt,121.5,0.213,13,0.531
CFLTwoYearWatt,121.599998,0.212,13,0.531
CFLTwoYearWatt,121.800003,0.212,13,0.533
CFLTwoYearWatt,122.300003,0.212,13,0.533
CFLTwoYearWatt,121.599998,0.21,13,0.541
CFLTwoYearWatt,121.099998,0.21,13,0.543
CFLTwoYearWatt,120,0.21,13,0.549
CFLTwoYearWatt,119.699997,0.21,13,0.55
CFLTwoYearWatt,119.599998,0.21,13,0.553
CFLTwoYearWatt,121.5,0.212,13,0.534
CFLTwoYearWatt,121.5,0.211,13,0.539
CFLTwoYearWatt,121.699997,0.211,13,0.543
CFLTwoYearWatt,121.699997,0.211,13,0.54
CFLTwoYearWatt,121,0.209,13,0.548
CFLTwoYearWatt,120.599998,0.212,13,0.544
CFLTwoYearWatt,120.800003,0.213,13,0.539
CFLTwoYearWatt,121.699997,0.215,13,0.531
CFLTwoYearWatt,121.699997,0.212,13,0.538
CFLTwoYearWatt,121.599998,0.211,13,0.541
CFLTwoYearWatt,120.699997,0.211,13,0.543
CFLTwoYearWatt,120.5,0.211,13,0.546
CFLTwoYearWatt,120.800003,0.21,13,0.548
CFLTwoYearWatt,120.5,0.209,13,0.552
CFLTwoYearWatt,121.199997,0.213,13,0.541
CFLTwoYearWatt,121.099998,0.213,13,0.539
CFLTwoYearWatt,120.400002,0.212,13,0.547
CFLTwoYearWatt,121.599998,0.211,13,0.543
CFLTwoYearWatt,121.900002,0.209,13,0.548
CFLTwoYearWatt,121.599998,0.211,13,0.541
CFLTwoYearWatt,120.800003,0.211,13,0.548
CFLTwoYearWatt,120.300003,0.209,13,0.554
CFLTwoYearWatt,120.400002,0.212,13,0.545
CFLTwoYearWatt,120.099998,0.21,13,0.553
CFLTwoYearWatt,120.699997,0.211,13,0.547
CFLTwoYearWatt,121.800003,0.213,13,0.532
CFLTwoYearWatt,120.900002,0.21,13,0.547
CFLTwoYearWatt,120,0.208,13,0.557
CFLTwoYearWatt,120.800003,0.211,13,0.545
CFLTwoYearWatt,121,0.21,13,0.544
CFLTwoYearWatt,121.900002,0.212,13,0.534
CFLTwoYearWatt,122,0.212,13,0.533
CFLTwoYearWatt,120.199997,0.21,13,0.551
CFLTwoYearWatt,120.400002,0.212,13,0.544
CFLTwoYearWatt,121.699997,0.214,13,0.532
CFLTwoYearWatt,122,0.213,13,0.538
CFLTwoYearWatt,121.400002,0.212,13,0.542
CFLTwoYearWatt,120.699997,0.211,13,0.545
CFLTwoYearWatt,120.300003,0.213,13,0.542
CFLTwoYearWatt,120.599998,0.211,13,0.545
CFLTwoYearWatt,120,0.208,13,0.557
CFLTwoYearWatt,119.900002,0.209,13,0.552
CFLTwoYearWatt,119.800003,0.209,13,0.55
CFLTwoYearWatt,120.599998,0.212,13,0.541
CFLTwoYearWatt,121.300003,0.21,13,0.547
CFLTwoYearWatt,121.800003,0.209,13,0.545
CFLTwoYearWatt,121,0.209,13,0.547
CFLTwoYearWatt,121.099998,0.212,13,0.537
CFLTwoYearWatt,121.199997,0.214,13,0.534
CFLTwoYearWatt,120.900002,0.211,13,0.545
CFLTwoYearWatt,121.699997,0.21,13,0.542
CFLTwoYearWatt,121.300003,0.21,13,0.544
CFLTwoYearWatt,120.900002,0.211,13,0.545
CFLTwoYearWatt,120.5,0.211,13,0.544
CFLTwoYearWatt,120.199997,0.209,13,0.548
CFLTwoYearWatt,121.599998,0.211,13,0.539
CFLTwoYearWatt,122.099998,0.211,13,0.537
CFLTwoYearWatt,121.800003,0.21,13,0.541
CFLTwoYearWatt,121.099998,0.208,13,0.553
CFLTwoYearWatt,120.5,0.207,13,0.555
CFLTwoYearWatt,120.099998,0.209,13,0.551
CFLTwoYearWatt,120.199997,0.208,13,0.553
CFLTwoYearWatt,119.900002,0.209,13,0.553
CFLTwoYearWatt,119.900002,0.21,13,0.547
CFLTwoYearWatt,119.699997,0.208,13,0.551
CFLTwoYearWatt,119.699997,0.208,13,0.553
CFLTwoYearWatt,120,0.209,13,0.55
CFLTwoYearWatt,119.800003,0.208,13,0.556
CFLTwoYearWatt,119.800003,0.209,13,0.555
CFLTwoYearWatt,119.699997,0.209,13,0.552
CFLTwoYearWatt,120.599998,0.21,13,0.546
CFLTwoYearWatt,120.900002,0.21,13,0.548
CFLTwoYearWatt,120.5,0.209,13,0.551
CFLTwoYearWatt,120.300003,0.209,13,0.55
CFLTwoYearWatt,119.5,0.208,13,0.557
CFLTwoYearWatt,120.199997,0.21,13,0.549
CFLTwoYearWatt,120,0.21,13,0.55
CFLTwoYearWatt,120.099998,0.21,13,0.55
CFLTwoYearWatt,120.599998,0.21,13,0.55
CFLTwoYearWatt,120.900002,0.21,13,0.543
CFLTwoYearWatt,121.599998,0.211,13,0.538
CFLTwoYearWatt,121.199997,0.212,13,0.541
CFLTwoYearWatt,121.400002,0.213,13,0.536
CFLTwoYearWatt,121.599998,0.214,13,0.531
CFLTwoYearWatt,121,0.21,13,0.546
CFLTwoYearWatt,120.599998,0.211,13,0.547
CFLTwoYearWatt,120.300003,0.211,13,0.546
CFLTwoYearWatt,121.800003,0.213,13,0.537
CFLTwoYearWatt,122.300003,0.214,13,0.531
CFLTwoYearWatt,121.199997,0.211,13,0.542
CFLTwoYearWatt,121.300003,0.211,13,0.542
CFLTwoYearWatt,120.199997,0.21,13,0.548
CFLTwoYearWatt,120,0.207,13,0.548
CFLTwoYearWatt,120.099998,0.207,13,0.545
CFLTwoYearWatt,119.199997,0.206,13,0.553
CFLTwoYearWatt,119.199997,0.207,13,0.547
CFLTwoYearWatt,120.599998,0.209,13,0.534
CFLTwoYearWatt,120.599998,0.207,13,0.541
CFLTwoYearWatt,119.400002,0.205,13,0.549
CFLTwoYearWatt,119.400002,0.206,13,0.546
CFLTwoYearWatt,120.599998,0.208,13,0.539
CFLTwoYearWatt,119.699997,0.208,13,0.542
CFLTwoYearWatt,119,0.206,13,0.549
CFLTwoYearWatt,119.199997,0.206,13,0.547
CFLTwoYearWatt,119.400002,0.207,13,0.544
CFLTwoYearWatt,120.099998,0.208,13,0.541
CFLTwoYearWatt,119.5,0.206,13,0.549
CFLTwoYearWatt,118.800003,0.205,13,0.555
CFLTwoYearWatt,118.800003,0.205,13,0.557
CFLTwoYearWatt,119.800003,0.206,13,0.549
CFLTwoYearWatt,120,0.208,13,0.536
CFLTwoYearWatt,120.400002,0.209,13,0.534
CFLTwoYearWatt,119.900002,0.21,13,0.534
CFLTwoYearWatt,120.199997,0.209,13,0.534
CFLTwoYearWatt,119.800003,0.207,13,0.543
CFLTwoYearWatt,119.199997,0.205,13,0.55
CFLTwoYearWatt,118.800003,0.205,13,0.555
CFLTwoYearWatt,118.699997,0.205,13,0.555
CFLTwoYearWatt,119.5,0.206,13,0.545
CFLTwoYearWatt,119.099998,0.206,13,0.546
CFLTwoYearWatt,118.800003,0.206,13,0.548
CFLTwoYearWatt,119.300003,0.207,13,0.544
CFLTwoYearWatt,119.300003,0.208,13,0.543
CFLTwoYearWatt,120.099998,0.208,13,0.534
CFLTwoYearWatt,120.300003,0.206,13,0.539
CFLTwoYearWatt,120.400002,0.206,13,0.542
CFLTwoYearWatt,119.5,0.205,13,0.549
CFLTwoYearWatt,119.800003,0.205,13,0.547
CFLTwoYearWatt,120.300003,0.205,13,0.544
CFLTwoYearWatt,119.800003,0.205,13,0.547
CFLTwoYearWatt,118.900002,0.204,13,0.555
CFLTwoYearWatt,118.199997,0.204,13,0.559
CFLTwoYearWatt,118.5,0.205,13,0.553
CFLTwoYearWatt,119.400002,0.207,13,0.542
CFLTwoYearWatt,120.199997,0.209,13,0.534
CFLTwoYearWatt,119.5,0.208,13,0.541
CFLTwoYearWatt,119.800003,0.207,13,0.546
CFLTwoYearWatt,119.199997,0.206,13,0.552
CFLTwoYearWatt,119,0.206,13,0.551
CFLTwoYearWatt,120.599998,0.207,13,0.538
CFLTwoYearWatt,120.199997,0.205,13,0.545
CFLTwoYearWatt,119.400002,0.206,13,0.548
CFLTwoYearWatt,119.400002,0.208,13,0.543
CFLTwoYearWatt,120.5,0.21,13,0.531
CFLTwoYearWatt,120.599998,0.208,13,0.534
CFLTwoYearWatt,119.699997,0.207,13,0.541
CFLTwoYearWatt,119,0.207,13,0.545
CFLTwoYearWatt,119,0.206,13,0.547
CFLTwoYearWatt,119.099998,0.206,13,0.547
CFLTwoYearWatt,119.800003,0.208,13,0.54
CFLTwoYearWatt,120.699997,0.209,13,0.534
CFLTwoYearWatt,120.800003,0.206,13,0.543
CFLTwoYearWatt,120.699997,0.206,13,0.541
CFLTwoYearWatt,119.599998,0.208,13,0.539
CFLTwoYearWatt,120.5,0.209,13,0.535
CFLTwoYearWatt,120.800003,0.208,13,0.535
CFLTwoYearWatt,121.300003,0.208,13,0.536
CFLTwoYearWatt,120.599998,0.204,13,0.548
CFLTwoYearWatt,120,0.204,13,0.553
CFLTwoYearWatt,119.300003,0.205,13,0.553
CFLTwoYearWatt,119.300003,0.207,13,0.549
CFLTwoYearWatt,119.400002,0.207,13,0.546
CFLTwoYearWatt,119.699997,0.208,13,0.542
CFLTwoYearWatt,120.5,0.206,13,0.542
CFLTwoYearWatt,120.099998,0.206,13,0.543
CFLTwoYearWatt,119.400002,0.206,13,0.546
CFLTwoYearWatt,119.800003,0.21,13,0.538
CFLTwoYearWatt,120.5,0.21,13,0.537
CFLTwoYearWatt,120.5,0.206,13,0.546
CFLTwoYearWatt,119,0.203,13,0.565
CFLTwoYearWatt,119,0.204,13,0.561
CFLTwoYearWatt,119.5,0.209,13,0.545
CFLTwoYearWatt,120.900002,0.211,13,0.532
CFLTwoYearWatt,120.800003,0.21,13,0.535
CFLTwoYearWatt,119.400002,0.206,13,0.551
CFLTwoYearWatt,118.900002,0.205,13,0.554
CFLTwoYearWatt,119.400002,0.206,13,0.548
CFLTwoYearWatt,119.5,0.207,13,0.55
CFLTwoYearWatt,119.900002,0.206,13,0.547
CFLTwoYearWatt,119,0.205,13,0.552
CFLTwoYearWatt,118.300003,0.205,13,0.558
CFLTwoYearWatt,119.800003,0.207,13,0.547
CFLTwoYearWatt,120.400002,0.209,13,0.54
CFLTwoYearWatt,120.599998,0.209,13,0.535
CFLTwoYearWatt,120.300003,0.209,13,0.538
CFLTwoYearWatt,120.199997,0.209,13,0.54
CFLTwoYearWatt,119.900002,0.208,13,0.543
CFLTwoYearWatt,119.5,0.207,13,0.548
CFLTwoYearWatt,118.599998,0.206,13,0.554
CFLTwoYearWatt,118.900002,0.206,13,0.55
CFLTwoYearWatt,119.800003,0.208,13,0.543
CFLTwoYearWatt,120.5,0.208,13,0.539
CFLTwoYearWatt,120,0.206,13,0.545
CFLTwoYearWatt,119.099998,0.206,13,0.55
CFLTwoYearWatt,119.599998,0.207,13,0.545
CFLTwoYearWatt,119.400002,0.205,13,0.549
CFLTwoYearWatt,118.900002,0.205,13,0.551
CFLTwoYearWatt,119.300003,0.205,13,0.553
CFLTwoYearWatt,119.400002,0.206,13,0.551
CFLTwoYearWatt,120.099998,0.207,13,0.543
CFLTwoYearWatt,120,0.206,13,0.546
CFLTwoYearWatt,119.199997,0.205,13,0.555
CFLTwoYearWatt,118.599998,0.204,13,0.559
CFLTwoYearWatt,118.5,0.205,13,0.556
CFLTwoYearWatt,119.099998,0.208,13,0.545
CFLTwoYearWatt,119.599998,0.209,13,0.539
CFLTwoYearWatt,120.5,0.208,13,0.538
CFLTwoYearWatt,120.300003,0.209,13,0.538
CFLTwoYearWatt,119.400002,0.207,13,0.546
CFLTwoYearWatt,119.300003,0.205,13,0.552
CFLTwoYearWatt,119.599998,0.207,13,0.542
CFLTwoYearWatt,120.699997,0.207,13,0.538
CFLTwoYearWatt,120.300003,0.207,13,0.544
CFLTwoYearWatt,119.199997,0.206,13,0.552
CFLTwoYearWatt,119.599998,0.208,13,0.543
CFLTwoYearWatt,119.599998,0.208,13,0.543
CFLTwoYearWatt,119.199997,0.208,13,0.546
CFLTwoYearWatt,118.900002,0.207,13,0.55
CFLTwoYearWatt,119.900002,0.207,13,0.544
CFLTwoYearWatt,120,0.207,13,0.545
CFLTwoYearWatt,119.800003,0.207,13,0.546
CFLTwoYearWatt,120.099998,0.209,13,0.537
CFLTwoYearWatt,120.400002,0.209,13,0.534
CFLTwoYearWatt,119.699997,0.208,13,0.539
CFLTwoYearWatt,118.199997,0.205,13,0.557
CFLTwoYearWatt,118,0.205,13,0.559
CFLTwoYearWatt,118.800003,0.206,13,0.553
CFLTwoYearWatt,119.699997,0.207,13,0.546
CFLTwoYearWatt,120.199997,0.208,13,0.542
CFLTwoYearWatt,120.300003,0.208,13,0.543
CFLTwoYearWatt,121,0.207,13,0.541
CFLTwoYearWatt,120.699997,0.206,13,0.544
CFLTwoYearWatt,119.900002,0.206,13,0.547
CFLTwoYearWatt,119,0.204,13,0.557
CFLTwoYearWatt,118.699997,0.204,13,0.558
CFLTwoYearWatt,118.400002,0.204,13,0.56
CFLTwoYearWatt,119.199997,0.205,13,0.544
CFLTwoYearWatt,119.699997,0.206,13,0.543
CFLTwoYearWatt,120.199997,0.208,13,0.542
CFLTwoYearWatt,119.900002,0.208,13,0.543
CFLTwoYearWatt,119.5,0.207,13,0.548
CFLTwoYearWatt,119.199997,0.206,13,0.55
CFLTwoYearWatt,118.099998,0.205,13,0.556
