CFSISR,119.099998,0.312,22,0.599
CFSISR,119.300003,0.312,22,0.598
CFSISR,120,0.314,22,0.59
CFSISR,119.400002,0.314,22,0.593
CFSISR,118.900002,0.312,22,0.601
CFSISR,118.900002,0.312,22,0.6
CFSISR,119.5,0.315,22,0.591
CFSISR,119.5,0.315,22,0.59
CFSISR,118.5,0.312,22,0.597
CFSISR,119.199997,0.314,22,0.593
CFSISR,119.199997,0.315,22,0.591
CFSISR,119.099998,0.315,22,0.59
CFSISR,118.900002,0.314,22,0.594
CFSISR,117.5,0.31,22,0.607
CFSISR,117.300003,0.309,22,0.61
CFSISR,117.699997,0.31,22,0.605
CFSISR,117.400002,0.308,22,0.614
CFSISR,117.300003,0.308,22,0.615
CFSISR,118.199997,0.307,22,0.611
CFSISR,118.400002,0.308,22,0.609
CFSISR,117.699997,0.309,22,0.609
CFSISR,118.400002,0.309,22,0.607
CFSISR,118.699997,0.309,22,0.604
CFSISR,117.900002,0.309,22,0.608
CFSISR,117.800003,0.309,22,0.608
CFSISR,117.800003,0.308,22,0.607
CFSISR,117.599998,0.31,22,0.609
CFSISR,117.900002,0.31,22,0.609
CFSISR,118.099998,0.31,22,0.606
CFSISR,117.699997,0.309,22,0.609
CFSISR,117.699997,0.308,22,0.61
CFSISR,117.699997,0.308,22,0.609
CFSISR,117.599998,0.308,22,0.611
CFSISR,117.199997,0.306,22,0.618
CFSISR,118.199997,0.308,22,0.606
CFSISR,118.099998,0.308,22,0.604
CFSISR,117.5,0.309,22,0.61
CFSISR,118.300003,0.312,22,0.6
CFSISR,118.199997,0.31,22,0.603
CFSISR,117.800003,0.308,22,0.61
CFSISR,118.300003,0.31,22,0.605
CFSISR,118.699997,0.312,22,0.598
CFSISR,117.300003,0.308,22,0.614
CFSISR,117.5,0.308,22,0.614
CFSISR,119.199997,0.312,22,0.594
CFSISR,117.699997,0.312,22,0.601
CFSISR,116.900002,0.309,22,0.61
CFSISR,118.900002,0.31,22,0.598
CFSISR,119.400002,0.313,22,0.59
CFSISR,118.099998,0.313,22,0.596
CFSISR,118.099998,0.312,22,0.599
CFSISR,118.699997,0.31,22,0.597
CFSISR,118.099998,0.309,22,0.603
CFSISR,118.5,0.311,22,0.597
CFSISR,118.5,0.312,22,0.597
CFSISR,118,0.312,22,0.6
CFSISR,118.300003,0.311,22,0.598
CFSISR,118,0.309,22,0.604
CFSISR,117.800003,0.308,22,0.607
CFSISR,118,0.307,22,0.609
CFSISR,117.800003,0.307,22,0.612
CFSISR,117.300003,0.305,22,0.616
CFSISR,118,0.306,22,0.609
CFSISR,118.199997,0.308,22,0.605
CFSISR,118.300003,0.311,22,0.6
CFSISR,118.199997,0.312,22,0.6
CFSISR,118,0.309,22,0.601
CFSISR,118.5,0.312,22,0.594
CFSISR,118.300003,0.312,22,0.595
CFSISR,118.099998,0.309,21,0.6
CFSISR,117.900002,0.309,21,0.602
CFSISR,117.900002,0.31,22,0.602
CFSISR,116.900002,0.307,22,0.614
CFSISR,116.900002,0.306,22,0.615
CFSISR,116.900002,0.305,22,0.618
CFSISR,117.400002,0.307,22,0.613
CFSISR,119,0.312,22,0.594
CFSISR,118.300003,0.311,22,0.6
CFSISR,117.599998,0.308,22,0.608
CFSISR,117.5,0.306,22,0.615
CFSISR,117.300003,0.305,22,0.618
CFSISR,117.599998,0.306,22,0.614
CFSISR,118.400002,0.31,22,0.602
CFSISR,118.599998,0.311,22,0.597
CFSISR,118.800003,0.312,22,0.597
CFSISR,118.099998,0.311,22,0.604
CFSISR,118,0.309,22,0.606
CFSISR,118,0.308,22,0.606
CFSISR,118,0.31,22,0.603
CFSISR,118,0.31,22,0.604
CFSISR,117.699997,0.308,22,0.61
CFSISR,118.199997,0.31,22,0.605
CFSISR,119.099998,0.313,22,0.596
CFSISR,118.199997,0.309,22,0.604
CFSISR,117.900002,0.309,22,0.605
CFSISR,118.599998,0.313,22,0.596
CFSISR,118.300003,0.312,22,0.6
CFSISR,118.300003,0.31,22,0.602
CFSISR,118.400002,0.313,22,0.596
CFSISR,118.099998,0.312,22,0.6
CFSISR,117.800003,0.309,22,0.609
CFSISR,118.300003,0.311,22,0.601
CFSISR,118.199997,0.31,22,0.604
CFSISR,116.900002,0.306,22,0.62
CFSISR,116.900002,0.306,22,0.618
CFSISR,117,0.306,22,0.618
CFSISR,116.599998,0.306,22,0.622
CFSISR,117.199997,0.306,22,0.617
CFSISR,118.199997,0.309,22,0.607
CFSISR,118.400002,0.311,22,0.603
CFSISR,119.400002,0.308,22,0.603
CFSISR,119.199997,0.311,22,0.598
CFSISR,119.199997,0.313,22,0.593
CFSISR,118.300003,0.31,22,0.603
CFSISR,117.400002,0.308,22,0.613
CFSISR,117.099998,0.306,22,0.618
CFSISR,117.900002,0.307,22,0.611
CFSISR,118.599998,0.31,22,0.601
CFSISR,118.5,0.313,22,0.596
CFSISR,117.699997,0.309,22,0.606
CFSISR,117.199997,0.306,22,0.615
CFSISR,117.199997,0.307,22,0.614
CFSISR,117.199997,0.306,22,0.618
CFSISR,117.400002,0.307,22,0.615
CFSISR,118.400002,0.309,22,0.604
CFSISR,118.900002,0.313,22,0.597
CFSISR,117.5,0.308,22,0.611
CFSISR,117.199997,0.306,22,0.618
CFSISR,117.699997,0.307,22,0.614
CFSISR,118.199997,0.308,22,0.607
CFSISR,118.900002,0.31,22,0.6
CFSISR,119,0.311,22,0.598
CFSISR,117.599998,0.308,22,0.61
CFSISR,116.699997,0.306,22,0.619
CFSISR,116.800003,0.306,22,0.618
CFSISR,117.800003,0.306,22,0.616
CFSISR,118.400002,0.306,22,0.609
CFSISR,118.800003,0.311,22,0.598
CFSISR,118.800003,0.313,22,0.594
CFSISR,118.800003,0.311,22,0.597
CFSISR,118.900002,0.311,22,0.595
CFSISR,118.199997,0.31,22,0.602
CFSISR,117.800003,0.309,22,0.608
CFSISR,117.5,0.308,22,0.613
CFSISR,117.599998,0.309,22,0.61
CFSISR,118,0.308,22,0.607
CFSISR,119.300003,0.31,22,0.6
CFSISR,119.599998,0.311,22,0.596
CFSISR,118.699997,0.312,22,0.595
CFSISR,118.199997,0.31,22,0.602
CFSISR,118,0.309,22,0.604
CFSISR,117.599998,0.308,22,0.61
CFSISR,117.199997,0.307,22,0.616
CFSISR,117.699997,0.309,22,0.609
CFSISR,117.400002,0.307,22,0.615
CFSISR,117.400002,0.307,22,0.616
CFSISR,116.900002,0.305,22,0.619
CFSISR,117.099998,0.305,22,0.619
CFSISR,117.199997,0.305,22,0.619
CFSISR,117.900002,0.306,22,0.612
CFSISR,118.400002,0.308,22,0.606
CFSISR,119.099998,0.311,22,0.596
CFSISR,118.5,0.31,22,0.603
CFSISR,118.599998,0.309,22,0.603
CFSISR,119.199997,0.313,22,0.594
CFSISR,118.699997,0.313,22,0.597
CFSISR,118.599998,0.312,22,0.601
CFSISR,118.5,0.311,22,0.605
CFSISR,118.599998,0.31,22,0.604
CFSISR,117.099998,0.306,22,0.618
CFSISR,116.699997,0.305,22,0.622
CFSISR,117.099998,0.306,22,0.621
CFSISR,117.400002,0.306,22,0.62
CFSISR,118.400002,0.307,22,0.611
CFSISR,118,0.306,22,0.615
CFSISR,118.099998,0.307,22,0.614
CFSISR,118.199997,0.307,22,0.613
CFSISR,117.400002,0.306,22,0.618
CFSISR,117.699997,0.306,22,0.616
CFSISR,117.400002,0.306,22,0.621
CFSISR,116.900002,0.306,22,0.622
CFSISR,117.099998,0.306,22,0.618
CFSISR,117.599998,0.306,22,0.618
CFSISR,117.400002,0.306,22,0.62
CFSISR,118.199997,0.31,22,0.608
CFSISR,118.300003,0.311,22,0.605
CFSISR,117.199997,0.308,22,0.616
CFSISR,117.699997,0.31,22,0.608
CFSISR,118,0.311,22,0.606
CFSISR,117.400002,0.309,22,0.613
CFSISR,117.400002,0.308,22,0.615
CFSISR,117.599998,0.311,22,0.609
CFSISR,117.400002,0.31,22,0.613
CFSISR,117.900002,0.31,22,0.612
CFSISR,116.900002,0.308,22,0.616
CFSISR,117,0.308,22,0.614
CFSISR,117.800003,0.31,22,0.609
CFSISR,118.400002,0.309,22,0.609
CFSISR,118.699997,0.31,22,0.606
CFSISR,118.699997,0.312,22,0.601
CHWISR,116.5,2.977,293,0.845
CHWISR,117.5,2.727,293,0.916
CHWISR,117,2.704,293,0.928
CHWISR,116.199997,2.641,292,0.957
CHWISR,116,2.543,292,0.99
CHWISR,117.5,2.649,293,0.941
CHWISR,117.699997,2.716,293,0.917
CHWISR,116,2.853,293,0.887
CHWISR,116,2.867,292,0.882
CHWISR,115.699997,2.985,292,0.846
CHWISR,116.400002,2.964,293,0.85
CHWISR,116.300003,2.966,293,0.85
CHWISR,115.900002,2.867,293,0.885
CHWISR,116.300003,2.874,293,0.878
CHWISR,116.5,2.852,293,0.883
CHWISR,116.5,2.924,293,0.861
CHWISR,117.699997,2.768,293,0.9
CHWISR,118,2.699,293,0.919
CHWISR,117.099998,2.843,292,0.88
CHWISR,117.099998,2.84,292,0.88
CHWISR,116.800003,2.613,292,0.956
CHWISR,116.900002,2.838,292,0.884
CHWISR,116.900002,2.949,293,0.849
CHWISR,116.099998,2.838,294,0.896
CHWISR,116.599998,2.847,293,0.885
CHWISR,117.5,2.758,293,0.904
CHWISR,117.599998,2.769,293,0.903
CHWISR,117.5,2.804,292,0.891
CHWISR,117,2.85,292,0.878
CHWISR,116.199997,2.891,293,0.874
CHWISR,116.699997,2.795,293,0.901
CHWISR,117,2.669,293,0.941
CHWISR,116.800003,2.606,293,0.965
CHWISR,116,2.708,293,0.938
CHWISR,115.699997,2.992,294,0.85
CHWISR,116.099998,2.933,294,0.863
CHWISR,116.900002,2.88,294,0.873
CHWISR,117.5,2.7,293,0.925
CHWISR,117.900002,2.761,294,0.904
CHWISR,117.699997,2.723,293,0.919
CHWISR,117.400002,2.741,293,0.912
CHWISR,117.199997,2.739,293,0.916
CHWISR,116.5,2.635,293,0.958
CHWISR,116.5,2.62,292,0.96
CHWISR,116.900002,2.748,293,0.916
CHWISR,117.599998,2.822,293,0.884
CHWISR,117.800003,2.816,293,0.884
CHWISR,116.800003,3,294,0.84
CHWISR,116.300003,3.023,295,0.839
CHWISR,117,2.853,294,0.884
CHWISR,117.599998,2.702,294,0.927
CHWISR,118.099998,2.678,294,0.931
CHWISR,118.5,2.675,294,0.926
CHWISR,118.400002,2.635,293,0.941
CHWISR,117.699997,2.745,294,0.913
CHWISR,117.599998,2.629,294,0.954
CHWISR,117.300003,2.551,294,0.983
CHWISR,117,2.8,294,0.901
CHWISR,117.900002,2.716,294,0.92
CHWISR,117.800003,2.622,294,0.954
CHWISR,117.300003,2.536,294,0.987
CHWISR,117,2.528,293,0.991
CHWISR,116.699997,2.523,293,0.996
CHWISR,116.800003,2.573,293,0.977
CHWISR,116.599998,2.571,293,0.979
CHWISR,116.5,2.543,293,0.991
CHWISR,116.900002,2.64,293,0.953
CHWISR,117.400002,2.672,294,0.938
CHWISR,117.199997,2.667,294,0.941
CHWISR,117.400002,2.684,294,0.932
CHWISR,117.800003,2.696,294,0.925
CHWISR,117,2.638,294,0.954
CHWISR,117.599998,2.775,294,0.902
CHWISR,117.099998,2.844,294,0.883
CHWISR,116.800003,2.844,294,0.886
CHWISR,118,2.694,294,0.925
CHWISR,117.300003,2.777,294,0.904
CHWISR,116.900002,2.835,293,0.888
CHWISR,116.699997,2.851,293,0.886
CHWISR,115.599998,2.71,294,0.944
CHWISR,116.199997,2.642,294,0.96
CHWISR,116.300003,2.782,293,0.912
CHWISR,117.300003,2.733,294,0.92
CHWISR,117.900002,2.587,294,0.965
CHWISR,118.5,2.641,294,0.939
CHWISR,118.5,2.693,294,0.922
CHWISR,118.400002,2.762,294,0.902
CHWISR,117.199997,2.832,294,0.889
CHWISR,116.199997,2.889,294,0.878
CHWISR,115.900002,2.869,294,0.889
CHWISR,117,2.949,294,0.853
CHWISR,117.300003,2.945,294,0.852
CHWISR,117.099998,2.879,295,0.879
CHWISR,116.699997,2.974,295,0.852
CHWISR,116.699997,2.976,295,0.85
CHWISR,116.199997,2.87,294,0.889
CHWISR,116,3.036,294,0.836
CHWISR,115.800003,3.035,294,0.838
CHWISR,116.300003,2.945,294,0.861
CHWISR,115.300003,2.86,294,0.898
CHWISR,115.400002,2.858,294,0.898
CHWISR,115.900002,2.838,294,0.901
CHWISR,116,2.815,294,0.906
CHWISR,116.800003,2.792,293,0.901
CHWISR,116.900002,2.702,292,0.927
CHWISR,117.5,2.62,292,0.95
CHWISR,117.099998,2.711,292,0.923
CHWISR,116.300003,2.691,292,0.938
CHWISR,117.400002,2.641,293,0.948
CHWISR,117.199997,2.883,294,0.872
CHWISR,116.699997,2.981,294,0.845
CHWISR,116.800003,2.91,294,0.867
CHWISR,117.5,2.82,294,0.889
CHWISR,118.199997,2.719,293,0.913
CHWISR,116.900002,2.584,293,0.972
CHWISR,116.400002,2.525,293,0.997
CHWISR,116.199997,2.525,293,0.997
CHWISR,116.199997,2.547,292,0.988
CHWISR,117.5,2.648,293,0.944
CHWISR,117.300003,2.665,294,0.944
CHWISR,117.5,2.705,294,0.929
CHWISR,117.400002,2.902,294,0.864
CHWISR,118,2.82,294,0.883
CHWISR,117.900002,2.837,294,0.88
CHWISR,117,2.948,295,0.855
CHWISR,117.199997,2.863,295,0.882
CHWISR,117.599998,2.785,295,0.902
CHWISR,116.599998,2.969,294,0.851
CHWISR,115.900002,3.002,295,0.847
CHWISR,116.099998,2.672,293,0.95
CHWISR,115.699997,2.679,293,0.951
CHWISR,117.099998,2.629,294,0.955
CHWISR,118,2.706,294,0.922
CHWISR,117.099998,2.913,294,0.863
CHWISR,116.599998,2.951,294,0.856
CHWISR,116.300003,2.968,295,0.855
CHWISR,116.300003,2.791,295,0.913
CHWISR,117,2.716,294,0.93
CHWISR,118.300003,2.594,294,0.958
CHWISR,116.800003,2.53,293,0.994
CHWISR,117.300003,2.728,293,0.922
CHWISR,117.300003,2.731,294,0.923
CHWISR,116,2.715,294,0.94
CHWISR,115.699997,2.845,294,0.897
CHWISR,116.199997,2.883,295,0.881
CHWISR,117.699997,2.686,294,0.931
CHWISR,117.800003,2.713,293,0.919
CHWISR,117.5,2.711,294,0.925
CHWISR,118,2.72,294,0.917
CHWISR,118,2.719,294,0.918
CHWISR,118,2.716,294,0.92
CHWISR,117.400002,2.734,294,0.919
CHWISR,117.099998,2.852,294,0.882
CHWISR,117.099998,2.659,294,0.946
CHWISR,116.699997,2.624,294,0.961
CHWISR,115.800003,2.72,294,0.939
CHWISR,115.400002,2.695,293,0.949
CHWISR,115.5,2.511,292,1
CHWISR,116.400002,2.547,292,0.987
CHWISR,116.900002,2.662,292,0.941
CHWISR,117.099998,2.655,292,0.944
CHWISR,117.800003,2.639,293,0.944
CHWISR,118,2.628,293,0.945
CHWISR,116.400002,2.625,292,0.958
CHWISR,117.800003,2.669,292,0.93
CHWISR,118.5,2.676,293,0.923
CHWISR,117.900002,2.66,292,0.933
CHWISR,117.800003,2.64,292,0.94
CHWISR,118,2.645,292,0.938
CHWISR,116.699997,2.703,292,0.932
CHWISR,116.300003,2.686,292,0.941
CHWISR,116.900002,2.551,292,0.98
CHWISR,116.5,2.561,292,0.98
CHWISR,115.900002,2.583,292,0.976
CHWISR,116.900002,2.773,292,0.902
CHWISR,117.699997,2.831,292,0.878
CHWISR,118.099998,2.727,292,0.908
CHWISR,117.199997,2.739,292,0.915
CHWISR,116.300003,2.849,292,0.888
CHWISR,115.800003,2.787,293,0.912
CHWISR,116.800003,2.704,293,0.93
CHWISR,117.699997,2.681,292,0.927
CHWISR,116.5,2.718,292,0.928
CHWISR,116.099998,2.687,292,0.942
CHWISR,116.599998,2.656,292,0.948
CHWISR,116.300003,2.657,292,0.951
CHWISR,115.900002,2.541,292,0.991
CHWISR,116.099998,2.701,292,0.936
CHWISR,117.599998,2.839,293,0.879
CHWISR,117.599998,2.902,293,0.859
CHWISR,116.599998,2.819,293,0.898
CHWISR,116.300003,2.846,293,0.892
CHWISR,116.599998,2.869,293,0.883
