1,0.333,0.571
1,0.337,0.559
1,0.336,0.566
1,0.333,0.574
1,0.334,0.571
1,0.332,0.577
1,0.332,0.579
1,0.33,0.582
1,0.331,0.577
1,0.333,0.57
1,0.337,0.556
1,0.335,0.558
1,0.331,0.57
1,0.33,0.575
1,0.329,0.581
1,0.332,0.567
1,0.333,0.564
1,0.334,0.564
1,0.329,0.574
1,0.33,0.576
1,0.331,0.572
1,0.334,0.561
1,0.334,0.561
1,0.331,0.572
1,0.328,0.581
1,0.328,0.58
1,0.331,0.576
1,0.333,0.572
1,0.335,0.567
1,0.335,0.566
1,0.333,0.567
1,0.33,0.573
1,0.33,0.576
1,0.327,0.582
1,0.329,0.578
1,0.332,0.57
1,0.333,0.568
1,0.331,0.573
1,0.328,0.581
1,0.329,0.579
1,0.329,0.584
1,0.332,0.577
1,0.33,0.572
1,0.328,0.584
1,0.327,0.59
1,0.33,0.575
1,0.33,0.575
1,0.327,0.585
1,0.328,0.585
1,0.332,0.577
1,0.334,0.568
1,0.335,0.567
1,0.333,0.572
1,0.333,0.574
1,0.333,0.572
1,0.332,0.574
1,0.329,0.578
1,0.329,0.576
1,0.328,0.582
1,0.327,0.589
1,0.328,0.588
1,0.331,0.582
1,0.332,0.578
1,0.333,0.575
1,0.329,0.579
1,0.329,0.578
1,0.331,0.57
1,0.332,0.57
1,0.333,0.579
1,0.331,0.586
1,0.326,0.591
1,0.327,0.585
1,0.324,0.592
1,0.324,0.59
1,0.324,0.591
1,0.325,0.593
1,0.326,0.593
1,0.327,0.588
1,0.329,0.579
1,0.328,0.58
1,0.325,0.586
1,0.327,0.583
1,0.33,0.573
1,0.329,0.572
1,0.326,0.584
1,0.324,0.59
1,0.323,0.592
1,0.323,0.594
1,0.324,0.591
1,0.324,0.593
1,0.325,0.591
1,0.326,0.586
1,0.324,0.592
1,0.323,0.595
1,0.324,0.593
1,0.326,0.588
1,0.325,0.587
1,0.325,0.582
1,0.327,0.58
1,0.329,0.576
1,0.33,0.574
1,0.326,0.58
1,0.324,0.585
1,0.324,0.587
1,0.323,0.592
1,0.324,0.591
1,0.329,0.572
1,0.33,0.569
1,0.327,0.574
1,0.325,0.58
1,0.322,0.593
1,0.321,0.595
1,0.323,0.591
1,0.325,0.583
1,0.329,0.571
1,0.327,0.574
1,0.324,0.582
1,0.324,0.585
1,0.321,0.596
1,0.322,0.592
1,0.323,0.584
1,0.325,0.58
1,0.327,0.579
1,0.328,0.571
1,0.328,0.568
1,0.326,0.577
1,0.326,0.581
1,0.325,0.581
1,0.327,0.574
1,0.327,0.573
1,0.325,0.578
1,0.326,0.577
1,0.328,0.569
1,0.325,0.575
1,0.321,0.59
1,0.324,0.586
1,0.325,0.58
1,0.324,0.58
1,0.326,0.579
1,0.327,0.579
1,0.323,0.586
1,0.323,0.586
1,0.322,0.59
1,0.321,0.595
1,0.323,0.588
1,0.325,0.58
1,0.324,0.579
1,0.325,0.574
1,0.324,0.578
1,0.324,0.58
1,0.322,0.584
1,0.32,0.592
1,0.322,0.584
1,0.323,0.579
1,0.325,0.573
1,0.326,0.571
1,0.324,0.576
1,0.323,0.58
1,0.322,0.584
1,0.323,0.583
1,0.323,0.59
1,0.32,0.597
1,0.321,0.591
1,0.322,0.588
1,0.323,0.585
1,0.323,0.586
1,0.319,0.595
1,0.323,0.587
1,0.325,0.578
1,0.321,0.592
1,0.321,0.596
1,0.325,0.578
1,0.324,0.583
1,0.326,0.581
1,0.327,0.58
1,0.324,0.587
1,0.323,0.589
1,0.325,0.584
1,0.328,0.577
1,0.329,0.573
1,0.327,0.579
1,0.326,0.581
1,0.326,0.582
1,0.324,0.59
1,0.324,0.588
1,0.322,0.564
1,0.327,0.552
1,0.322,0.566
1,0.325,0.563
1,0.323,0.569
1,0.322,0.568
1,0.322,0.566
1,0.322,0.572
1,0.323,0.566
1,0.323,0.566
1,0.323,0.564
1,0.321,0.573
1,0.32,0.573
1,0.322,0.567
1,0.319,0.58
2,5.147,0.892
2,5.147,0.888
2,5.107,0.896
2,5.052,0.905
2,5.133,0.881
2,4.778,0.942
2,4.65,0.965
2,4.704,0.956
2,4.633,0.976
2,4.677,0.967
2,4.847,0.929
2,4.936,0.915
2,5.079,0.894
2,5.312,0.851
2,5.323,0.854
2,5.209,0.867
2,5.14,0.877
2,5.034,0.887
2,4.887,0.911
2,4.825,0.924
2,4.643,0.971
2,4.596,0.977
2,4.564,0.986
2,4.658,0.967
2,4.592,0.99
2,4.589,0.992
2,4.523,1
2,4.839,0.953
2,4.854,0.947
2,4.592,0.99
2,4.742,0.954
2,4.623,0.985
2,4.618,0.988
2,4.736,0.96
2,4.735,0.962
2,4.529,1
2,4.521,1
2,4.632,0.982
2,4.652,0.979
2,4.556,0.996
2,4.603,0.982
2,4.706,0.96
2,4.956,0.91
2,5.368,0.842
2,5.312,0.857
2,5.031,0.9
2,4.835,0.94
2,4.914,0.921
2,5.196,0.868
2,5.192,0.869
2,4.912,0.915
2,4.608,0.98
2,4.999,0.902
2,5.237,0.861
2,4.915,0.919
2,4.628,0.974
2,4.528,1
2,4.767,0.953
2,4.847,0.931
2,4.781,0.939
2,4.971,0.903
2,4.956,0.908
2,4.942,0.915
2,4.897,0.924
2,4.902,0.928
2,4.584,0.987
2,4.554,0.993
2,4.667,0.968
2,4.912,0.922
2,5.027,0.895
2,4.866,0.93
2,5.061,0.89
2,5.137,0.881
2,5.397,0.848
2,5.432,0.841
2,5.438,0.838
2,5.407,0.839
2,5.139,0.876
2,5.235,0.856
2,5.17,0.867
2,5.018,0.892
2,4.801,0.939
2,4.776,0.944
2,5.05,0.891
2,4.991,0.904
2,4.871,0.92
2,4.869,0.919
2,4.892,0.912
2,4.828,0.931
2,5.099,0.879
2,5.191,0.865
2,5.386,0.84
2,5.422,0.839
2,5.007,0.913
2,5.009,0.896
2,4.84,0.928
2,4.535,0.999
2,4.616,0.981
2,4.916,0.915
2,5.114,0.879
2,5.381,0.842
2,5.337,0.851
2,4.887,0.923
2,4.793,0.941
2,4.524,1
2,4.552,1
