app_id,v_val,i_val,p_val,pf_val
AP,120.300003,0.085,6,0.629
AP,120.5,0.085,6,0.635
AP,119.800003,0.086,6,0.633
AP,119.099998,0.086,6,0.635
AP,118.800003,0.087,6,0.629
AP,119.300003,0.086,6,0.64
AP,119.699997,0.086,6,0.636
AP,119.900002,0.086,6,0.635
AP,120,0.085,6,0.631
AP,120.400002,0.086,6,0.623
AP,119.699997,0.087,6,0.628
AP,119.599998,0.086,6,0.639
AP,119.599998,0.086,6,0.638
AP,120.400002,0.085,6,0.639
AP,119.300003,0.086,6,0.64
AP,118.5,0.087,6,0.634
AP,119.400002,0.086,6,0.627
AP,120.300003,0.086,6,0.632
AP,120.5,0.087,6,0.626
AP,120.400002,0.085,6,0.635
AP,119.199997,0.085,6,0.639
AP,118.699997,0.087,6,0.63
AP,118.599998,0.087,6,0.63
AP,119.400002,0.086,6,0.636
AP,120,0.085,6,0.641
AP,119.900002,0.085,6,0.646
AP,119.800003,0.085,6,0.637
AP,120.400002,0.084,6,0.65
AP,120.599998,0.084,6,0.653
AP,120.699997,0.084,6,0.644
AP,120.5,0.084,6,0.639
AP,120.800003,0.085,6,0.635
AP,120.5,0.085,6,0.633
AP,121,0.084,6,0.637
AP,120.599998,0.084,6,0.635
AP,119.800003,0.085,6,0.636
AP,119.199997,0.087,6,0.627
AP,119.5,0.086,6,0.631
AP,120.5,0.084,6,0.639
AP,120.400002,0.085,6,0.637
AP,119.699997,0.086,6,0.625
AP,120.099998,0.086,6,0.624
AP,121,0.084,6,0.637
AP,119.5,0.086,6,0.641
AP,118.5,0.087,6,0.634
AP,119.400002,0.086,6,0.636
AP,120.800003,0.084,6,0.64
AP,120.599998,0.085,6,0.634
AP,120.199997,0.084,6,0.649
AP,119.400002,0.086,6,0.639
AP,119,0.087,6,0.629
AP,119.5,0.086,6,0.633
AP,119.300003,0.086,6,0.631
AP,119.300003,0.087,6,0.625
AP,119.800003,0.085,6,0.631
AP,120.699997,0.084,6,0.639
AP,120.400002,0.086,6,0.633
AP,119.900002,0.085,6,0.642
AP,119.900002,0.085,6,0.64
AP,119.800003,0.087,6,0.625
AP,120.099998,0.086,6,0.629
AP,120.400002,0.085,6,0.635
AP,120.099998,0.085,6,0.637
AP,119.599998,0.086,6,0.633
AP,119.900002,0.085,6,0.635
AP,120.099998,0.085,6,0.642
AP,119.699997,0.086,6,0.639
AP,119.099998,0.085,6,0.641
AP,119.900002,0.084,6,0.647
AP,120.800003,0.084,6,0.634
AP,120.300003,0.085,6,0.631
AP,119.800003,0.085,6,0.64
AP,118.5,0.089,6,0.621
AP,118.699997,0.088,6,0.622
AP,119.5,0.086,6,0.633
AP,120,0.086,6,0.629
AP,120.800003,0.085,6,0.638
AP,119.699997,0.086,6,0.638
AP,119.599998,0.086,6,0.635
AP,119.599998,0.085,6,0.639
AP,118.800003,0.086,6,0.636
AP,119.5,0.087,6,0.628
AP,119.699997,0.086,6,0.629
AP,120.199997,0.085,6,0.635
AP,120.900002,0.085,6,0.633
AP,121.400002,0.085,6,0.629
AP,120.099998,0.086,6,0.632
AP,119.400002,0.085,6,0.64
AP,118.699997,0.087,6,0.629
AP,118.699997,0.086,6,0.633
AP,119.900002,0.084,6,0.646
AP,120.699997,0.084,6,0.642
AP,120.699997,0.085,6,0.635
AP,119.699997,0.086,6,0.633
AP,119.199997,0.086,6,0.634
AP,119.900002,0.086,6,0.627
AP,119.400002,0.086,6,0.627
AP,119.099998,0.087,6,0.632
AP,119.300003,0.086,6,0.634
AP,119.699997,0.085,6,0.641
AP,119.5,0.086,6,0.626
AP,120.099998,0.086,6,0.627
AP,119.699997,0.086,6,0.638
AP,119.5,0.086,6,0.635
AP,119.300003,0.086,6,0.627
AP,118.900002,0.087,6,0.62
AP,119.199997,0.086,6,0.633
AP,119.099998,0.085,6,0.639
AP,118.800003,0.086,6,0.632
AP,119.800003,0.086,6,0.622
AP,120.199997,0.085,6,0.633
AP,119.5,0.087,6,0.629
AP,119.900002,0.087,6,0.625
AP,120.5,0.085,6,0.633
AP,119.099998,0.086,6,0.629
AP,118.900002,0.087,6,0.63
AP,119.199997,0.087,6,0.632
AP,118,0.088,6,0.63
AP,118.099998,0.088,6,0.63
AP,119.099998,0.088,6,0.617
AP,118.900002,0.089,6,0.615
AP,118.599998,0.089,6,0.618
AP,118.599998,0.089,6,0.618
AP,118.199997,0.087,6,0.631
AP,118.300003,0.087,6,0.629
AP,118.5,0.088,6,0.625
AP,119.599998,0.086,6,0.638
AP,119.599998,0.086,6,0.636
AP,119.199997,0.087,6,0.623
AP,119,0.085,6,0.634
AP,120.099998,0.084,6,0.643
AP,120.300003,0.084,6,0.641
AP,119.599998,0.085,6,0.645
AP,120.699997,0.085,6,0.641
AP,121,0.085,6,0.636
AP,120.099998,0.085,6,0.633
AP,119.800003,0.085,6,0.635
AP,119.599998,0.086,6,0.629
AP,119.199997,0.086,6,0.635
AP,118.699997,0.086,6,0.644
AP,119.400002,0.086,6,0.636
AP,119,0.087,6,0.625
AP,119.300003,0.086,6,0.633
AP,119.5,0.086,6,0.635
AP,119.800003,0.086,6,0.633
AP,120.099998,0.084,6,0.641
AP,119.5,0.085,6,0.642
AP,118.699997,0.087,6,0.635
AP,118.5,0.088,6,0.624
AP,119.699997,0.086,6,0.627
AP,119.900002,0.085,6,0.641
AP,119.300003,0.084,6,0.647
AP,120.400002,0.085,6,0.633
AP,120.099998,0.085,6,0.639
AP,119.699997,0.086,6,0.636
AP,119.300003,0.087,6,0.626
AP,119.800003,0.086,6,0.634
AP,120.400002,0.085,6,0.642
AP,120.699997,0.085,6,0.631
AP,120.199997,0.085,6,0.633
AP,119.5,0.085,6,0.633
AP,119.400002,0.085,6,0.636
AP,119.699997,0.085,6,0.634
AP,120.699997,0.085,6,0.636
AP,120.900002,0.084,6,0.635
AP,120.5,0.084,6,0.636
AP,120.900002,0.085,6,0.635
AP,120.5,0.085,6,0.637
AP,120,0.085,6,0.637
AP,118.599998,0.088,6,0.621
AP,118.400002,0.089,6,0.612
AP,119.5,0.086,6,0.631
AP,120,0.085,6,0.648
AP,120.099998,0.085,6,0.648
AP,120.400002,0.085,6,0.641
AP,120.5,0.086,6,0.635
AP,120.699997,0.085,6,0.632
AP,120.5,0.085,6,0.629
AP,121,0.085,6,0.643
AP,120.5,0.084,6,0.643
AP,119.5,0.085,6,0.633
AP,119.199997,0.086,6,0.633
AP,119.400002,0.086,6,0.633
AP,118.800003,0.087,6,0.627
AP,118.599998,0.087,6,0.629
AP,118.400002,0.087,6,0.633
AP,119.900002,0.087,6,0.625
AP,120.199997,0.087,6,0.625
AP,120.099998,0.084,6,0.644
AP,120.199997,0.084,6,0.644
AP,120.099998,0.087,6,0.624
AP,120.699997,0.086,6,0.625
AP,120.900002,0.085,6,0.633
AP,120.300003,0.086,6,0.632
AP,120.400002,0.086,6,0.627
AP,120.199997,0.087,6,0.625
AP,120.199997,0.085,6,0.635
AP,119.5,0.086,6,0.632
AP,119.5,0.087,6,0.63
AP,119.900002,0.086,6,0.628
AP,118.5,0.087,6,0.634
AP,118.199997,0.088,6,0.631
AP,118.300003,0.089,6,0.615
AP,119.400002,0.087,6,0.624
AP,119.699997,0.085,6,0.638
AP,120.400002,0.085,6,0.64
AP,120.900002,0.085,6,0.64
AP,121.099998,0.086,6,0.63
AP,120.800003,0.085,6,0.632
AP,120,0.085,6,0.638
AP,119.099998,0.087,6,0.629
AP,118.900002,0.088,6,0.623
AP,119.800003,0.087,6,0.623
AP,119.400002,0.087,6,0.623
AP,120.099998,0.086,6,0.626
AP,120.199997,0.087,6,0.627
AP,119.199997,0.087,6,0.631
AP,118.400002,0.087,6,0.629
AP,119.599998,0.087,6,0.627
AP,120.5,0.086,6,0.628
AP,120,0.086,6,0.63
AP,119,0.087,6,0.632
AP,118.599998,0.088,6,0.621
AP,120,0.086,6,0.632
AP,120.900002,0.085,6,0.638
AP,120.699997,0.085,6,0.635
AP,120.5,0.085,6,0.638
AP,119.5,0.087,6,0.628
AP,119,0.089,6,0.617
AP,118.400002,0.088,6,0.619
AP,118.199997,0.09,6,0.611
AP,118.400002,0.09,6,0.613
AP,118.800003,0.088,6,0.621
AP,118.599998,0.088,6,0.618
AP,118.699997,0.088,6,0.625
AP,118.599998,0.088,6,0.626
AP,119.199997,0.086,6,0.629
AP,118.400002,0.088,6,0.618
AP,118.400002,0.089,6,0.615
AP,118.699997,0.086,6,0.625
AP,118.900002,0.086,6,0.629
AP,118.400002,0.086,6,0.628
AP,118.099998,0.086,6,0.63
AP,118.900002,0.085,6,0.63
AP,118.199997,0.088,6,0.625
AP,118.699997,0.088,6,0.621
AP,118.699997,0.087,6,0.624
AP,120,0.086,6,0.627
AP,120.199997,0.084,6,0.64
AP,119.5,0.084,6,0.641
AP,120.900002,0.085,6,0.635
AP,120.199997,0.085,6,0.641
AP,119,0.085,6,0.644
AP,119.099998,0.086,6,0.631
AP,120.400002,0.084,6,0.636
AP,120,0.084,6,0.632
AP,119.099998,0.085,6,0.623
AP,120.400002,0.082,6,0.639
AP,121.099998,0.082,6,0.636
AP,120,0.082,6,0.628
