app_id,v_val,i_val,p_val,pf_val
MFS,118.199997,0.502,56,0.959
MFS,117.5,0.504,56,0.961
MFS,117.800003,0.502,57,0.964
MFS,117.699997,0.504,57,0.962
MFS,117.699997,0.499,57,0.97
MFS,118.5,0.496,56,0.968
MFS,117.800003,0.504,56,0.959
MFS,116.900002,0.504,56,0.965
MFS,118.300003,0.497,56,0.967
MFS,118.900002,0.496,56,0.965
MFS,117.599998,0.498,56,0.969
MFS,116.599998,0.5,56,0.976
MFS,117.900002,0.498,57,0.97
MFS,118.099998,0.5,57,0.965
MFS,117.5,0.504,57,0.963
MFS,117.699997,0.501,57,0.966
MFS,117.199997,0.498,57,0.977
MFS,117.300003,0.5,57,0.976
MFS,117.5,0.498,57,0.977
MFS,117.900002,0.497,57,0.974
MFS,117.699997,0.5,57,0.97
MFS,118,0.496,57,0.976
MFS,117.900002,0.497,57,0.976
MFS,117.599998,0.498,57,0.975
MFS,117.5,0.499,57,0.974
MFS,117.699997,0.499,57,0.974
MFS,117.400002,0.499,57,0.975
MFS,116.699997,0.501,57,0.975
MFS,117.699997,0.504,57,0.962
MFS,118.199997,0.506,57,0.956
MFS,118.5,0.505,57,0.954
MFS,118.5,0.497,57,0.969
MFS,118.5,0.494,57,0.974
MFS,117.599998,0.495,56,0.977
MFS,117.199997,0.496,56,0.978
MFS,117.199997,0.497,56,0.976
MFS,117.199997,0.5,56,0.971
MFS,117.099998,0.5,56,0.97
MFS,117.199997,0.5,56,0.971
MFS,118.099998,0.498,56,0.965
MFS,118,0.502,56,0.956
MFS,117.599998,0.5,56,0.965
MFS,116.900002,0.498,56,0.974
MFS,116.900002,0.499,56,0.967
MFS,117.699997,0.501,56,0.958
MFS,117.699997,0.503,57,0.963
MFS,117.099998,0.505,57,0.965
MFS,116.800003,0.508,57,0.963
MFS,117.099998,0.504,57,0.97
MFS,116.699997,0.502,57,0.979
MFS,117.800003,0.502,57,0.967
MFS,117.800003,0.506,57,0.961
MFS,117.199997,0.505,57,0.965
MFS,117.900002,0.505,57,0.961
MFS,117.800003,0.509,57,0.956
MFS,117.400002,0.506,57,0.967
MFS,118,0.502,57,0.969
MFS,118,0.503,57,0.968
MFS,118.400002,0.501,57,0.968
MFS,117.900002,0.503,57,0.968
MFS,117.300003,0.507,57,0.961
MFS,116.699997,0.506,57,0.973
MFS,116,0.506,57,0.979
MFS,116.699997,0.503,57,0.977
MFS,116.5,0.502,57,0.98
MFS,117,0.502,57,0.977
MFS,118.199997,0.501,57,0.97
MFS,118.800003,0.498,57,0.966
MFS,118.800003,0.5,57,0.965
MFS,118.099998,0.5,57,0.97
MFS,118.300003,0.499,57,0.969
MFS,119,0.5,57,0.965
MFS,119,0.5,57,0.966
MFS,119.099998,0.5,57,0.963
MFS,118.400002,0.504,57,0.963
MFS,118.400002,0.503,57,0.966
MFS,118.099998,0.496,57,0.973
MFS,118.199997,0.5,56,0.96
MFS,118.300003,0.503,57,0.962
MFS,117.900002,0.501,57,0.973
MFS,117.800003,0.501,57,0.972
MFS,118.5,0.502,57,0.963
MFS,118,0.505,57,0.96
MFS,116.599998,0.508,57,0.966
MFS,116.900002,0.502,57,0.974
MFS,117.400002,0.499,57,0.976
MFS,117.699997,0.501,57,0.97
MFS,117.900002,0.5,57,0.969
MFS,117.5,0.504,57,0.964
MFS,116.699997,0.506,57,0.966
MFS,116.099998,0.504,57,0.976
MFS,117.199997,0.501,57,0.973
MFS,117.699997,0.504,57,0.963
MFS,117.199997,0.501,57,0.97
MFS,117.800003,0.497,56,0.972
MFS,116.599998,0.503,57,0.974
MFS,117,0.505,57,0.967
MFS,117.800003,0.505,57,0.96
MFS,117.699997,0.506,57,0.957
MFS,117.099998,0.506,57,0.963
MFS,117.599998,0.5,57,0.973
MFS,118.099998,0.504,57,0.96
MFS,117.400002,0.507,57,0.96
MFS,116.900002,0.502,57,0.973
MFS,116.699997,0.499,57,0.978
MFS,116.800003,0.502,57,0.973
MFS,117.800003,0.5,57,0.97
MFS,118,0.5,57,0.969
MFS,118,0.501,57,0.967
MFS,117.699997,0.502,57,0.965
MFS,116.300003,0.504,56,0.968
MFS,116.300003,0.504,56,0.97
MFS,116.900002,0.501,57,0.978
MFS,117,0.501,57,0.977
MFS,117,0.505,57,0.968
MFS,116.400002,0.507,57,0.971
MFS,117.099998,0.507,57,0.964
MFS,117.699997,0.505,57,0.961
MFS,117.699997,0.502,57,0.968
MFS,117,0.502,57,0.975
MFS,116.599998,0.506,57,0.969
MFS,117,0.508,57,0.962
MFS,117.699997,0.505,57,0.961
MFS,118.099998,0.502,57,0.962
MFS,117.599998,0.501,57,0.969
MFS,117.199997,0.499,57,0.975
MFS,117,0.5,56,0.973
MFS,116.5,0.503,56,0.966
MFS,117.099998,0.502,56,0.962
MFS,118,0.5,57,0.966
MFS,118.199997,0.503,57,0.958
MFS,118.400002,0.503,57,0.957
MFS,117.5,0.503,57,0.964
MFS,117.400002,0.504,56,0.962
MFS,117.400002,0.497,56,0.975
MFS,117.900002,0.498,56,0.969
MFS,118.199997,0.504,57,0.957
MFS,118.099998,0.507,57,0.956
MFS,117.300003,0.509,57,0.964
MFS,117,0.506,57,0.971
MFS,117.5,0.501,57,0.974
MFS,117.599998,0.5,57,0.974
MFS,117.5,0.502,57,0.972
MFS,117.800003,0.504,57,0.967
MFS,117.300003,0.505,57,0.972
MFS,116.699997,0.507,57,0.971
MFS,117.5,0.506,57,0.967
MFS,117.599998,0.505,57,0.969
MFS,118.099998,0.506,57,0.963
MFS,118.300003,0.506,57,0.962
MFS,118,0.508,57,0.962
MFS,116.800003,0.506,57,0.978
MFS,117,0.507,57,0.972
MFS,117,0.506,57,0.974
MFS,116.400002,0.505,57,0.982
MFS,117.400002,0.505,57,0.973
MFS,118.300003,0.505,57,0.964
MFS,118.199997,0.506,57,0.962
MFS,117.699997,0.51,57,0.96
MFS,116.800003,0.511,57,0.967
MFS,117.099998,0.507,57,0.972
MFS,117.699997,0.504,57,0.966
MFS,118,0.506,57,0.96
MFS,117.800003,0.508,57,0.964
MFS,117.099998,0.512,57,0.96
MFS,116.400002,0.51,57,0.968
MFS,117.099998,0.506,57,0.969
MFS,117.300003,0.506,57,0.97
MFS,116.300003,0.507,57,0.979
MFS,116.900002,0.506,57,0.975
MFS,117,0.508,57,0.97
MFS,116.800003,0.506,57,0.977
MFS,116.900002,0.504,57,0.979
MFS,116.800003,0.505,57,0.977
MFS,117.800003,0.501,57,0.976
MFS,118.099998,0.501,57,0.974
MFS,118.099998,0.502,57,0.971
MFS,118.699997,0.501,57,0.966
MFS,118.800003,0.502,57,0.961
MFS,118.699997,0.506,57,0.958
MFS,118.599998,0.506,57,0.959
MFS,117.199997,0.509,57,0.965
MFS,116.699997,0.511,57,0.964
MFS,116.5,0.51,57,0.969
MFS,117.5,0.504,57,0.971
MFS,117.699997,0.502,57,0.974
MFS,117.800003,0.504,57,0.968
MFS,118.5,0.504,57,0.961
MFS,117.900002,0.505,57,0.964
MFS,118,0.509,57,0.954
MFS,117.699997,0.509,57,0.955
MFS,117.199997,0.505,57,0.97
MFS,116.800003,0.503,57,0.978
MFS,117.400002,0.503,57,0.971
MFS,118.099998,0.5,57,0.97
MFS,118.300003,0.501,57,0.967
MFS,117.900002,0.507,57,0.959
MFS,117.800003,0.507,57,0.959
MFS,117.099998,0.507,57,0.964
MFS,116.5,0.509,57,0.965
MFS,117.300003,0.502,57,0.973
MFS,117.800003,0.502,57,0.967
MFS,117.699997,0.505,57,0.961
MFS,117.599998,0.506,57,0.959
MFS,116.900002,0.507,57,0.965
MFS,116.900002,0.502,57,0.975
MFS,117.400002,0.499,57,0.978
MFS,118.199997,0.5,57,0.969
MFS,118.099998,0.5,57,0.968
MFS,117.800003,0.499,57,0.971
MFS,117.699997,0.501,57,0.969
MFS,117.300003,0.5,56,0.97
MFS,117.099998,0.503,57,0.97
MFS,118.199997,0.501,57,0.968
MFS,118.300003,0.5,57,0.967
MFS,118.099998,0.506,57,0.957
MFS,118.300003,0.505,57,0.957
MFS,118.300003,0.501,57,0.965
MFS,118.300003,0.501,57,0.967
MFS,118.599998,0.503,57,0.96
MFS,118.599998,0.5,57,0.966
MFS,118.699997,0.501,57,0.963
MFS,117.800003,0.503,57,0.964
MFS,117.699997,0.504,57,0.964
MFS,118.099998,0.503,57,0.961
MFS,117.5,0.504,57,0.963
MFS,117.300003,0.503,57,0.968
MFS,117.400002,0.501,57,0.971
MFS,118,0.5,56,0.965
MFS,117.099998,0.502,56,0.966
MFS,116.5,0.505,56,0.968
MFS,117.599998,0.499,57,0.97
MFS,118,0.499,56,0.966
MFS,117.5,0.504,57,0.963
MFS,118,0.501,57,0.967
MFS,118.099998,0.498,57,0.973
MFS,117.699997,0.503,57,0.965
MFS,118.099998,0.504,57,0.959
MFS,117.5,0.506,57,0.959
MFS,117.099998,0.507,57,0.962
MFS,117.099998,0.503,57,0.971
MFS,117.400002,0.498,57,0.979
MFS,117.199997,0.5,57,0.974
MFS,117.699997,0.5,57,0.969
MFS,118.300003,0.5,57,0.962
MFS,117.900002,0.499,56,0.964
MFS,117.400002,0.501,57,0.971
MFS,117.099998,0.504,57,0.968
MFS,116.5,0.507,57,0.967
MFS,116.900002,0.504,57,0.969
MFS,117.400002,0.5,57,0.972
MFS,117.400002,0.501,57,0.969
MFS,117.699997,0.498,57,0.973
MFS,117.699997,0.497,57,0.975
MFS,118,0.502,57,0.962
MFS,118.199997,0.504,57,0.957
MFS,117.199997,0.506,57,0.963
MFS,116.699997,0.508,57,0.963
MFS,116.800003,0.503,57,0.971
MFS,116.5,0.501,57,0.977
MFS,117.199997,0.5,57,0.974
MFS,117.800003,0.499,57,0.969
MFS,117.599998,0.501,56,0.966
MFS,117,0.503,57,0.97
MFS,117,0.503,57,0.969
MFS,117.400002,0.499,56,0.97
MFS,118,0.503,56,0.959
MFS,117.199997,0.506,57,0.961
MFS,116.400002,0.505,57,0.968
MFS,116.800003,0.502,56,0.97
MFS,117.599998,0.5,56,0.967
MFS,118.599998,0.497,57,0.966
MFS,116.900002,0.502,57,0.971
MFS,116.199997,0.503,57,0.975
MFS,116.400002,0.5,57,0.979
MFS,117.199997,0.5,56,0.971
MFS,117.699997,0.505,56,0.954
MFS,116.300003,0.506,56,0.967
MFS,116.199997,0.503,56,0.972
MFS,116.800003,0.499,56,0.973
MFS,117.5,0.5,57,0.97
MFS,117.5,0.504,57,0.963
MFS,116.599998,0.507,57,0.965
MFS,116.300003,0.504,56,0.971
MFS,116.900002,0.499,56,0.973
MFS,117.599998,0.5,56,0.968
MFS,118.099998,0.5,56,0.963
MFS,117.800003,0.498,56,0.966
MFS,117.699997,0.5,56,0.962
MFS,117.800003,0.5,56,0.964
MFS,117,0.505,56,0.961
MFS,116.699997,0.504,56,0.966
MFS,117,0.498,56,0.973
MFS,117.699997,0.496,56,0.974
MFS,118.300003,0.494,56,0.967
MFS,118,0.494,56,0.967
MFS,116.599998,0.503,56,0.969
MFS,116.400002,0.499,56,0.979
MFS,117.099998,0.495,56,0.98
MFS,118,0.502,56,0.958
MFS,117.199997,0.504,56,0.959
MFS,116.599998,0.502,56,0.968
MFS,117,0.498,56,0.969
MFS,117.699997,0.502,56,0.956
MFS,117,0.502,56,0.964
MFS,118,0.498,56,0.964
MFS,118.099998,0.501,56,0.956
MFS,117,0.502,56,0.964
MFS,117.900002,0.498,56,0.964
MFS,117.599998,0.502,56,0.959
MFS,117.199997,0.5,56,0.968
MFS,117.699997,0.494,56,0.97
MFS,118,0.496,56,0.961
MFS,117.5,0.503,56,0.959
MFS,117.199997,0.502,56,0.963
MFS,116.599998,0.5,56,0.972
MFS,116.599998,0.497,56,0.977
MFS,116.699997,0.499,56,0.972
MFS,118.099998,0.495,56,0.97
MFS,118.099998,0.495,56,0.969
MFS,117.400002,0.496,56,0.974
MFS,116.599998,0.501,56,0.972
MFS,116.400002,0.504,56,0.969
MFS,117.300003,0.505,56,0.959
MFS,117.300003,0.505,56,0.958
MFS,117.5,0.498,56,0.97
MFS,118.199997,0.499,56,0.964
MFS,118.199997,0.502,56,0.958
MFS,117.599998,0.496,56,0.97
MFS,116.800003,0.496,56,0.976
MFS,116.900002,0.499,56,0.975
MFS,117.800003,0.496,56,0.975
MFS,117.5,0.499,56,0.97
MFS,117.699997,0.501,56,0.964
MFS,117.5,0.499,56,0.969
MFS,117.400002,0.5,56,0.969
MFS,118.400002,0.501,57,0.959
MFS,118.099998,0.5,57,0.966
MFS,117.199997,0.505,57,0.962
MFS,118.300003,0.501,57,0.964
MFS,118.300003,0.497,57,0.97
MFS,116.300003,0.5,56,0.978
MFS,116.199997,0.502,56,0.974
MFS,117.099998,0.503,56,0.963
MFS,117.099998,0.497,56,0.972
MFS,117.400002,0.495,56,0.971
MFS,117.599998,0.497,56,0.966
MFS,117.599998,0.5,56,0.964
MFS,117.300003,0.502,56,0.965
MFS,117.199997,0.502,56,0.964
MFS,117.199997,0.504,56,0.956
MFS,116.800003,0.503,56,0.961
MFS,115.900002,0.501,56,0.974
MFS,115.900002,0.501,56,0.976
MFS,115.800003,0.502,56,0.978
MFS,116.099998,0.5,56,0.978
MFS,116.599998,0.497,56,0.978
MFS,117.199997,0.496,56,0.975
MFS,118.400002,0.5,56,0.956
MFS,118.300003,0.5,56,0.959
MFS,117.5,0.501,56,0.964
MFS,117.699997,0.498,56,0.964
MFS,117.699997,0.499,56,0.962
MFS,117.599998,0.502,56,0.961
MFS,117.199997,0.503,56,0.962
MFS,116.400002,0.504,56,0.965
MFS,116.099998,0.504,56,0.964
MFS,116,0.503,56,0.969
MFS,116.300003,0.5,56,0.973
MFS,116.400002,0.5,56,0.973
MFS,116.800003,0.5,56,0.972
MFS,117.400002,0.499,56,0.968
MFS,117.699997,0.498,56,0.966
MFS,117.400002,0.5,56,0.965
MFS,117.900002,0.504,56,0.953
MFS,117.300003,0.506,56,0.957
MFS,116.900002,0.498,56,0.973
MFS,117.800003,0.496,56,0.972
MFS,118.199997,0.497,56,0.963
MFS,116.900002,0.502,56,0.964
MFS,116.699997,0.501,56,0.97
MFS,117.199997,0.499,56,0.97
MFS,117.400002,0.499,56,0.967
MFS,117.199997,0.501,56,0.966
MFS,118.099998,0.501,56,0.959
MFS,116.699997,0.502,56,0.968
MFS,116.400002,0.498,56,0.977
MFS,116.699997,0.5,56,0.971
MFS,116.800003,0.501,56,0.966
MFS,117.800003,0.496,56,0.968
MFS,116.800003,0.499,56,0.969
MFS,116.099998,0.501,56,0.972
MFS,117.800003,0.497,56,0.968
MFS,118.599998,0.497,56,0.963
MFS,117.5,0.5,56,0.962
MFS,116.099998,0.501,56,0.971
MFS,116.900002,0.495,56,0.978
MFS,117.5,0.494,56,0.975
MFS,117.800003,0.5,56,0.961
MFS,117.5,0.504,56,0.957
MFS,116.800003,0.505,56,0.962
MFS,116.300003,0.505,56,0.966
MFS,116.300003,0.503,56,0.971
MFS,116.5,0.5,56,0.976
MFS,116.400002,0.498,56,0.978
MFS,116.400002,0.504,56,0.967
MFS,116.099998,0.504,56,0.969
MFS,116.800003,0.5,56,0.969
MFS,117,0.501,56,0.967
MFS,116.400002,0.503,56,0.969
MFS,116.400002,0.503,56,0.971
MFS,116.800003,0.504,56,0.961
MFS,117.099998,0.504,56,0.957
MFS,116.199997,0.502,56,0.971
MFS,116.800003,0.502,56,0.968
MFS,116.800003,0.502,56,0.969
MFS,116.5,0.502,56,0.971
MFS,116.699997,0.502,56,0.969
MFS,117.199997,0.505,56,0.956
MFS,117.099998,0.504,56,0.959
MFS,116.900002,0.503,56,0.964
MFS,116.300003,0.503,56,0.97
MFS,116.199997,0.501,56,0.972
MFS,116.300003,0.499,56,0.974
MFS,117.400002,0.495,56,0.975
MFS,117.900002,0.495,56,0.974
MFS,117.599998,0.495,56,0.974
MFS,116.900002,0.494,56,0.983
MFS,117,0.494,56,0.982
MFS,117.5,0.496,56,0.971
MFS,118,0.497,56,0.965
MFS,117.900002,0.497,56,0.967
MFS,117.599998,0.498,56,0.969
MFS,117.300003,0.499,56,0.969
MFS,116.599998,0.501,56,0.971
MFS,116.300003,0.496,56,0.981
MFS,116.199997,0.498,56,0.98
MFS,116.400002,0.498,56,0.978
MFS,117.099998,0.497,56,0.972
MFS,117.400002,0.497,56,0.971
MFS,117.699997,0.497,56,0.966
MFS,116.900002,0.499,56,0.968
MFS,116.400002,0.501,56,0.969
MFS,117.300003,0.499,56,0.965
MFS,117.599998,0.496,56,0.966
MFS,117.099998,0.498,56,0.965
MFS,116.599998,0.5,56,0.966
MFS,116.800003,0.498,56,0.971
MFS,116.5,0.497,56,0.975
MFS,116.800003,0.498,56,0.968
MFS,116.800003,0.499,56,0.967
MFS,117,0.501,56,0.962
MFS,116.199997,0.502,56,0.964
MFS,117.199997,0.497,56,0.965
MFS,117.5,0.5,56,0.959
MFS,116.300003,0.499,56,0.972
MFS,116.300003,0.494,56,0.982
MFS,117.099998,0.496,56,0.97
MFS,117,0.5,56,0.962
MFS,116.5,0.502,56,0.963
MFS,117.599998,0.498,56,0.963
MFS,118.400002,0.495,56,0.96
MFS,117.699997,0.498,56,0.961
MFS,117.699997,0.5,56,0.96
MFS,117.800003,0.497,56,0.964
MFS,118,0.495,56,0.966
MFS,117.800003,0.498,56,0.962
MFS,117.699997,0.498,56,0.961
MFS,117.599998,0.495,56,0.97
MFS,117.300003,0.498,56,0.968
MFS,118.400002,0.493,56,0.968
MFS,117.599998,0.492,56,0.977
MFS,116.900002,0.493,56,0.978
MFS,116.800003,0.497,56,0.97
MFS,116.800003,0.5,56,0.965
MFS,116.800003,0.5,56,0.964
MFS,116.800003,0.499,56,0.965
MFS,116.900002,0.497,56,0.968
MFS,116.199997,0.494,56,0.979
MFS,116.5,0.492,56,0.981
MFS,117.400002,0.492,56,0.975
MFS,117.300003,0.492,56,0.975
MFS,117.699997,0.494,56,0.971
MFS,118.300003,0.497,56,0.962
MFS,117.599998,0.498,56,0.964
MFS,117.300003,0.498,56,0.966
MFS,117.5,0.496,56,0.966
MFS,116.900002,0.497,56,0.97
MFS,117.699997,0.5,56,0.957
MFS,117,0.501,56,0.96
MFS,115.699997,0.499,56,0.976
MFS,116.699997,0.497,56,0.971
MFS,116.300003,0.499,56,0.968
MFS,116.5,0.496,56,0.971
MFS,117.099998,0.498,56,0.962
MFS,116.099998,0.499,56,0.968
MFS,116.800003,0.495,56,0.973
MFS,117.599998,0.497,56,0.963
MFS,117.300003,0.5,56,0.959
MFS,117.800003,0.496,56,0.96
MFS,117.5,0.499,56,0.958
MFS,117.5,0.496,56,0.963
MFS,118.300003,0.494,56,0.962
MFS,117.300003,0.5,56,0.959
MFS,116.599998,0.499,56,0.965
MFS,116.800003,0.497,56,0.97
MFS,117.300003,0.5,56,0.962
MFS,117.5,0.499,56,0.961
MFS,116.900002,0.498,56,0.97
MFS,116.5,0.496,56,0.974
MFS,117.900002,0.495,56,0.967
MFS,117.900002,0.495,56,0.969
MFS,118,0.493,56,0.967
MFS,117.900002,0.492,56,0.966
MFS,116.699997,0.496,56,0.974
MFS,116.400002,0.497,56,0.977
MFS,116.099998,0.5,56,0.973
MFS,116.300003,0.503,56,0.964
MFS,117.599998,0.502,56,0.956
MFS,118.099998,0.499,56,0.959
MFS,118.199997,0.495,56,0.965
MFS,116.699997,0.499,56,0.974
MFS,116.599998,0.504,56,0.965
MFS,117.400002,0.499,56,0.966
MFS,118.099998,0.498,56,0.965
MFS,117.5,0.501,56,0.961
MFS,117.699997,0.499,56,0.961
MFS,117.599998,0.495,56,0.968
MFS,117.5,0.496,56,0.969
MFS,117.199997,0.495,56,0.971
MFS,117,0.492,56,0.977
MFS,116.5,0.498,56,0.971
MFS,117,0.5,56,0.964
MFS,117.699997,0.5,56,0.96
MFS,117.300003,0.499,56,0.965
MFS,117.5,0.496,56,0.969
MFS,117.900002,0.497,56,0.963
MFS,117.300003,0.499,56,0.965
MFS,117.699997,0.495,56,0.97
MFS,117.699997,0.494,56,0.97
MFS,117.400002,0.493,56,0.976
MFS,117.699997,0.494,56,0.971
MFS,117.699997,0.5,56,0.959
MFS,117.300003,0.504,56,0.954
MFS,117.199997,0.498,56,0.97
MFS,117.199997,0.497,56,0.974
MFS,117.300003,0.5,56,0.967
MFS,117,0.498,56,0.965
MFS,116.099998,0.497,56,0.975
MFS,116.5,0.497,56,0.978
MFS,116.699997,0.499,56,0.971
MFS,116.400002,0.504,56,0.964
MFS,116.900002,0.499,56,0.969
MFS,117.900002,0.499,56,0.962
MFS,118.199997,0.5,56,0.95
MFS,117.300003,0.499,56,0.958
MFS,117.400002,0.495,56,0.97
MFS,117.900002,0.495,56,0.967
MFS,117.599998,0.497,56,0.966
MFS,117.599998,0.5,56,0.96
MFS,117.099998,0.501,56,0.964
MFS,116,0.502,56,0.97
MFS,116.300003,0.499,56,0.973
MFS,117.5,0.493,56,0.975
MFS,117.400002,0.491,56,0.977
MFS,117.599998,0.495,56,0.969
MFS,118.099998,0.497,56,0.962
MFS,118.199997,0.496,56,0.96
MFS,118.900002,0.494,56,0.962
MFS,118.900002,0.495,56,0.96
MFS,118.599998,0.493,56,0.965
MFS,118.400002,0.495,56,0.963
MFS,118.699997,0.499,56,0.954
MFS,117.400002,0.5,56,0.961
MFS,116.800003,0.502,56,0.96
MFS,117,0.496,56,0.967
MFS,116.400002,0.495,56,0.975
MFS,116.900002,0.494,56,0.974
MFS,118.300003,0.494,56,0.963
