app_id,v_val,i_val,p_val,pf_val
FW,113.800003,0.221,15,0.615
FW,114.199997,0.221,15,0.614
FW,114.099998,0.221,15,0.613
FW,114.099998,0.221,15,0.613
FW,114.400002,0.221,15,0.612
FW,115.5,0.225,15,0.597
FW,116.099998,0.226,15,0.592
FW,116.300003,0.225,15,0.593
FW,115.400002,0.222,15,0.608
FW,114.800003,0.221,15,0.614
FW,114.599998,0.221,15,0.616
FW,115.5,0.223,15,0.606
FW,115.199997,0.224,15,0.604
FW,115.5,0.224,15,0.599
FW,116.199997,0.225,15,1.605
FW,115.900002,0.224,15,0.597
FW,116,0.224,15,0.595
FW,115.300003,0.224,15,0.6
FW,116,0.225,15,0.593
FW,115.699997,0.224,15,0.597
FW,114.900002,0.222,15,0.606
FW,114.5,0.222,15,0.609
FW,115,0.223,15,0.601
FW,115.099998,0.224,15,0.601
FW,115,0.224,15,0.602
FW,115,0.222,15,0.608
FW,115.900002,0.224,15,0.596
FW,115.5,0.224,15,0.595
FW,115.5,0.222,15,0.599
FW,116.099998,0.224,15,0.595
FW,114.699997,0.223,15,0.605
FW,115.300003,0.224,15,0.602
FW,114.699997,0.222,15,1.605
FW,115.699997,0.223,15,0.602
FW,115.800003,0.223,15,0.602
FW,115.199997,0.224,15,0.604
FW,114.900002,0.223,15,0.61
FW,114.400002,0.221,15,0.622
FW,114.599998,0.221,15,0.619
FW,115.099998,0.222,15,0.609
FW,114.900002,0.222,15,0.611
FW,114.800003,0.223,15,0.609
FW,114.099998,0.222,15,0.619
FW,115.099998,0.222,15,0.611
FW,115.099998,0.224,15,0.605
FW,115.199997,0.225,15,0.602
FW,116,0.224,15,1.605
FW,116,0.224,15,0.6
FW,116.400002,0.227,15,0.588
FW,116.699997,0.227,15,0.585
FW,115.800003,0.225,15,0.597
FW,115.800003,0.225,15,0.598
FW,116,0.225,15,0.597
FW,116,0.226,15,0.592
FW,114.900002,0.223,15,0.604
FW,114.599998,0.221,15,0.62
FW,114.300003,0.221,15,0.619
FW,114.400002,0.221,15,0.617
FW,115,0.222,15,0.612
FW,116.400002,0.224,15,0.598
FW,116.800003,0.226,15,0.589
FW,116.199997,0.226,15,0.593
FW,114.699997,0.221,15,0.613
FW,116.300003,0.223,15,0.605
FW,115.599998,0.223,15,0.611
FW,115.900002,0.224,15,0.607
FW,116,0.224,15,0.603
FW,115.5,0.223,15,0.606
FW,116.5,0.223,15,0.603
FW,116.800003,0.224,15,0.599
FW,116.300003,0.226,15,0.597
FW,116.699997,0.227,15,0.592
FW,115.400002,0.225,15,0.605
FW,114.699997,0.223,15,0.614
FW,115.5,0.223,15,1.605
FW,116.099998,0.225,15,0.599
FW,116.400002,0.224,15,0.601
FW,116.099998,0.225,15,0.6
FW,115.5,0.224,15,1.605
FW,115.900002,0.223,15,0.605
FW,115.900002,0.224,15,1.605
FW,115.900002,0.225,15,1.605
FW,115.599998,0.224,15,0.606
FW,116.599998,0.225,15,0.596
FW,116,0.225,15,0.601
FW,116.400002,0.225,15,0.597
FW,115.699997,0.224,15,0.604
FW,115.699997,0.224,15,0.607
FW,115.099998,0.222,15,1.605
FW,114.900002,0.222,15,1.605
FW,115.400002,0.224,15,0.605
FW,115.599998,0.224,15,0.604
FW,115.599998,0.224,15,0.603
FW,115.699997,0.224,15,0.605
FW,115.599998,0.225,15,1.605
FW,115,0.224,15,0.605
FW,114.599998,0.223,15,0.61
FW,114.800003,0.223,15,0.614
FW,114.699997,0.221,15,0.617
FW,115,0.222,15,0.615
FW,116.099998,0.224,15,0.601
FW,116.699997,0.226,15,1.605
FW,114.900002,0.223,15,0.612
FW,115.599998,0.224,15,1.605
FW,116.800003,0.226,15,0.593
FW,116,0.225,15,0.598
FW,114.800003,0.223,15,0.611
FW,115,0.222,15,0.613
FW,115.699997,0.223,15,0.605
FW,116.699997,0.225,15,0.599
FW,116.5,0.226,15,1.605
FW,116.199997,0.225,15,0.602
FW,116.699997,0.223,15,0.6
FW,116.099998,0.223,15,0.606
FW,115.599998,0.222,15,0.61
FW,114.699997,0.221,15,0.615
FW,115.900002,0.221,15,0.61
FW,116,0.223,15,0.607
FW,116.900002,0.227,15,0.592
FW,116.699997,0.225,15,0.598
FW,115.300003,0.223,15,0.61
FW,114.900002,0.222,15,0.615
FW,114.699997,0.223,15,0.61
FW,115.400002,0.224,15,0.602
FW,116.300003,0.226,15,0.593
FW,115.800003,0.225,15,0.596
FW,115.699997,0.224,15,0.597
FW,115.599998,0.224,15,0.601
FW,114.5,0.222,15,0.615
FW,114.400002,0.222,15,0.615
FW,115.300003,0.222,15,0.613
FW,115.800003,0.223,15,0.607
FW,116.099998,0.224,15,0.601
FW,116.400002,0.226,15,0.593
FW,115.199997,0.224,15,0.606
FW,114.800003,0.222,15,0.614
FW,115.900002,0.223,15,0.601
FW,116.199997,0.226,15,0.595
FW,115.199997,0.223,15,0.609
FW,115.599998,0.223,15,0.606
FW,115.599998,0.224,15,0.602
FW,115.5,0.223,15,0.606
FW,116.199997,0.224,15,0.598
FW,116.300003,0.225,15,0.596
FW,115.199997,0.223,15,0.609
FW,115.5,0.224,15,0.603
FW,116.599998,0.228,15,0.588
FW,116.099998,0.226,15,0.596
FW,115.199997,0.222,15,0.61
FW,115.199997,0.223,15,0.609
FW,116.699997,0.225,15,0.596
FW,116.699997,0.226,15,0.594
FW,114.900002,0.223,15,0.614
FW,115.699997,0.223,15,0.604
FW,115.599998,0.222,15,0.606
FW,116.300003,0.223,15,0.601
FW,116.400002,0.225,15,0.598
FW,115.800003,0.225,15,0.606
FW,116.800003,0.226,15,0.593
FW,116.800003,0.226,15,0.592
FW,115.800003,0.223,15,0.605
FW,116.400002,0.225,15,0.594
FW,115.900002,0.223,15,0.6
FW,116,0.223,15,0.602
FW,115.900002,0.223,15,0.605
FW,115.300003,0.222,15,0.612
FW,114.599998,0.221,15,0.616
FW,114.400002,0.222,15,0.616
FW,114.400002,0.221,15,0.617
FW,114.5,0.223,15,0.609
FW,114.400002,0.223,15,0.61
FW,114.400002,0.222,15,0.611
FW,114.099998,0.221,15,0.62
FW,115.099998,0.222,15,0.612
FW,115.5,0.224,15,0.602
FW,115.800003,0.225,15,0.596
FW,115.800003,0.224,15,0.599
FW,114.300003,0.223,15,0.611
FW,114,0.222,15,0.615
FW,114.300003,0.221,15,0.617
FW,114.599998,0.222,15,0.611
FW,115.699997,0.224,15,0.601
FW,116.199997,0.223,15,0.602
FW,116.5,0.224,15,0.596
FW,116.400002,0.227,15,0.593
FW,116.400002,0.225,15,0.596
FW,116.400002,0.227,15,0.592
FW,116.300003,0.227,15,0.594
FW,115.699997,0.226,15,0.599
FW,115.400002,0.225,15,0.603
FW,115.800003,0.226,15,0.596
FW,116,0.226,15,0.596
FW,116,0.225,15,0.597
FW,115,0.223,15,0.608
FW,115.099998,0.223,15,0.608
FW,114.900002,0.223,15,0.609
FW,114.5,0.222,15,0.613
FW,114.5,0.222,15,0.613
FW,114.300003,0.221,15,0.618
FW,114.5,0.221,15,0.617
FW,115,0.221,15,0.613
FW,115.300003,0.222,15,0.608
FW,116.400002,0.223,15,0.6
FW,116.800003,0.225,15,0.594
FW,116.099998,0.226,15,0.594
FW,115.400002,0.225,15,0.598
FW,114.5,0.223,15,0.607
FW,114.300003,0.222,15,0.613
FW,115.699997,0.222,15,0.604
FW,116.400002,0.226,15,0.591
FW,116.300003,0.225,15,0.599
FW,115.699997,0.223,15,0.604
FW,114.800003,0.222,15,0.613
FW,115.300003,0.222,15,0.61
FW,117,0.225,15,0.592
FW,117.300003,0.226,15,0.586
FW,116.199997,0.226,15,0.592
FW,115.199997,0.224,15,0.6
FW,115.300003,0.224,15,0.604
FW,115.199997,0.223,15,0.609
FW,115.400002,0.222,15,0.61
FW,116.099998,0.224,15,0.601
FW,116.599998,0.225,15,0.595
FW,116.900002,0.226,15,0.591
FW,116.199997,0.225,15,0.597
FW,115.699997,0.225,15,0.598
FW,115.5,0.224,15,0.602
FW,115.300003,0.223,15,0.606
FW,115.300003,0.224,15,0.607
FW,115.300003,0.224,15,0.609
FW,115.099998,0.224,15,0.608
FW,115.400002,0.223,15,0.607
FW,115.300003,0.222,15,0.609
FW,115,0.221,15,0.617
FW,114.5,0.221,15,0.618
FW,114.400002,0.222,15,0.613
FW,114.699997,0.223,15,0.611
FW,115.599998,0.224,15,0.606
FW,116.300003,0.227,15,0.593
FW,116.5,0.227,15,0.59
FW,116.599998,0.226,15,0.592
FW,117.300003,0.227,15,0.584
FW,116.800003,0.227,15,0.59
FW,116.800003,0.226,15,0.59
FW,116.199997,0.224,15,0.596
FW,116.599998,0.225,15,0.592
FW,115.400002,0.223,15,0.609
FW,114.900002,0.222,15,0.614
FW,114.199997,0.222,15,0.614
FW,115.199997,0.222,15,0.61
FW,115.900002,0.224,15,0.6
FW,115.900002,0.225,15,0.597
FW,115.099998,0.223,15,0.609
FW,115,0.222,15,0.613
FW,115.699997,0.223,15,0.606
FW,116.599998,0.227,15,0.592
FW,115.599998,0.225,15,0.6
FW,115.099998,0.223,15,0.607
FW,115.5,0.222,15,0.609
FW,116.5,0.227,15,0.59
FW,116,0.226,15,0.595
FW,114.699997,0.222,15,0.614
FW,115,0.223,15,0.612
FW,116.300003,0.223,15,0.604
FW,117,0.225,15,0.597
FW,116.5,0.227,15,0.592
FW,116.400002,0.226,15,0.593
FW,116.599998,0.226,15,0.594
FW,116.5,0.226,15,0.595
FW,116.400002,0.226,15,0.596
FW,115.599998,0.225,15,0.602
FW,116.099998,0.226,15,0.598
FW,117.099998,0.226,15,0.592
FW,117,0.226,15,0.592
FW,116.5,0.225,15,0.594
FW,115.099998,0.222,15,0.61
FW,114.5,0.222,15,0.613
FW,114.400002,0.222,15,0.613
FW,115.599998,0.225,15,0.599
FW,115.5,0.224,15,0.605
FW,115.900002,0.225,15,0.598
FW,116,0.227,15,0.591
FW,116.5,0.227,15,0.59
FW,116,0.226,15,0.597
FW,116.300003,0.227,15,0.593
FW,116.900002,0.228,15,0.589
FW,116.800003,0.228,15,0.589
FW,115.900002,0.226,15,0.6
FW,115,0.223,15,0.612
FW,114.900002,0.222,15,0.613
FW,115.5,0.223,15,0.607
FW,116.699997,0.225,15,0.596
FW,115.5,0.225,15,1.605
FW,115.699997,0.223,15,0.605
FW,115.199997,0.224,15,0.607
FW,115.400002,0.224,15,0.604
FW,115.900002,0.223,15,0.601
FW,116.400002,0.225,15,0.591
FW,115.599998,0.224,15,0.603
FW,115.800003,0.224,15,0.601
FW,114.900002,0.221,15,0.611
FW,116.400002,0.225,15,0.595
FW,116.5,0.226,15,0.591
FW,116.300003,0.226,15,0.594
FW,114.699997,0.222,15,0.613
FW,114.599998,0.222,15,0.614
FW,114.400002,0.222,15,0.615
FW,115.199997,0.223,15,0.611
FW,114.699997,0.222,15,0.614
