CFSHWISR,115.199997,2.705,314,1
CFSHWISR,115.599998,2.718,315,1
CFSHWISR,116.900002,2.763,315,0.975
CFSHWISR,117.199997,2.796,315,0.961
CFSHWISR,117.099998,2.991,315,0.902
CFSHWISR,117.5,2.95,315,0.908
CFSHWISR,117.199997,3.009,314,0.892
CFSHWISR,116.800003,3.076,315,0.878
CFSHWISR,116.400002,2.948,315,0.923
CFSHWISR,116.800003,2.897,315,0.935
CFSHWISR,116.400002,3.048,315,0.889
CFSHWISR,116.800003,2.972,314,0.908
CFSHWISR,117.099998,2.848,314,0.944
CFSHWISR,117.199997,2.857,315,0.942
CFSHWISR,116.599998,2.779,315,0.974
CFSHWISR,116.900002,2.881,315,0.937
CFSHWISR,117.599998,2.971,316,0.905
CFSHWISR,116.400002,2.967,316,0.921
CFSHWISR,116.099998,3.056,316,0.895
CFSHWISR,115.800003,3.057,316,0.897
CFSHWISR,116,3.147,316,0.865
CFSHWISR,116.300003,3.112,315,0.872
CFSHWISR,116.900002,2.937,316,0.924
CFSHWISR,117.800003,2.999,315,0.894
CFSHWISR,117.800003,2.981,316,0.901
CFSHWISR,117.800003,2.889,316,0.932
CFSHWISR,118,2.867,316,0.935
CFSHWISR,117.900002,2.97,316,0.904
CFSHWISR,117.5,2.945,316,0.915
CFSHWISR,117.300003,2.879,315,0.936
CFSHWISR,116.400002,2.901,315,0.939
CFSHWISR,116,2.882,315,0.949
CFSHWISR,115.699997,2.708,316,1
CFSHWISR,115.599998,2.704,316,1
CFSHWISR,115.900002,2.843,316,0.964
CFSHWISR,115.900002,2.844,316,0.965
CFSHWISR,116.099998,2.985,316,0.918
CFSHWISR,116.199997,3,316,0.911
CFSHWISR,116.599998,2.987,316,0.912
CFSHWISR,116.900002,3.009,317,0.905
CFSHWISR,116.599998,2.904,316,0.937
CFSHWISR,117.099998,2.926,316,0.924
CFSHWISR,118.300003,2.845,316,0.939
CFSHWISR,118.5,2.886,316,0.924
CFSHWISR,117.699997,3.061,317,0.88
CFSHWISR,116.699997,3.099,317,0.877
CFSHWISR,116,3.147,317,0.868
CFSHWISR,116.199997,3.131,317,0.872
CFSHWISR,116.400002,3.137,317,0.868
CFSHWISR,116.5,3.154,316,0.861
CFSHWISR,117,3.12,316,0.867
CFSHWISR,117.400002,3.087,317,0.874
CFSHWISR,117.300003,3.02,316,0.893
CFSHWISR,117.900002,2.981,316,0.9
CFSHWISR,117.900002,2.987,316,0.898
CFSHWISR,117.699997,2.996,317,0.898
CFSHWISR,116.900002,3.058,317,0.886
CFSHWISR,116.800003,3.075,316,0.881
CFSHWISR,117.099998,3.02,317,0.898
CFSHWISR,116.900002,3.055,317,0.891
CFSHWISR,117.099998,2.979,318,0.915
CFSHWISR,116.900002,2.975,318,0.917
CFSHWISR,116.5,2.931,318,0.935
CFSHWISR,115.800003,2.996,317,0.92
CFSHWISR,115.900002,3.147,317,0.87
CFSHWISR,116.5,3.144,318,0.867
CFSHWISR,116.599998,2.983,317,0.914
CFSHWISR,116.699997,2.982,317,0.914
CFSHWISR,117.599998,3.049,317,0.886
CFSHWISR,118.099998,2.976,317,0.901
CFSHWISR,116.300003,3.072,316,0.885
CFSHWISR,116.599998,2.938,316,0.926
CFSHWISR,116.400002,2.793,316,0.974
CFSHWISR,116.599998,2.975,315,0.915
CFSHWISR,116.400002,3.019,315,0.9
CFSHWISR,116.599998,2.92,315,0.93
CFSHWISR,117.599998,2.923,316,0.921
CFSHWISR,118.599998,2.846,316,0.937
CFSHWISR,119.099998,2.867,317,0.928
CFSHWISR,118.300003,2.874,317,0.933
CFSHWISR,117.800003,2.873,316,0.935
CFSHWISR,117.599998,2.969,315,0.904
CFSHWISR,117,2.954,315,0.914
CFSHWISR,117,2.938,315,0.918
CFSHWISR,117.699997,2.95,315,0.91
CFSHWISR,117.699997,2.94,316,0.915
CFSHWISR,117.599998,2.899,316,0.928
CFSHWISR,117.099998,2.93,316,0.926
CFSHWISR,117.199997,2.917,316,0.929
CFSHWISR,117.400002,2.75,315,0.977
CFSHWISR,116.400002,2.88,315,0.945
CFSHWISR,116.599998,3.006,316,0.906
CFSHWISR,116.099998,2.831,316,0.966
CFSHWISR,115.599998,2.698,315,1
CFSHWISR,115.800003,2.701,315,1
CFSHWISR,116.699997,2.793,315,0.97
CFSHWISR,116.699997,2.799,315,0.968
CFSHWISR,116.699997,2.812,316,0.965
CFSHWISR,117,2.817,316,0.961
CFSHWISR,116.400002,2.897,315,0.94
CFSHWISR,116.599998,2.91,315,0.932
CFSHWISR,117,2.94,315,0.92
CFSHWISR,117.300003,2.97,316,0.908
CFSHWISR,117.699997,3.035,316,0.885
CFSHWISR,118.099998,2.985,316,0.897
CFSHWISR,117.5,2.986,316,0.903
CFSHWISR,116.699997,3.101,316,0.875
CFSHWISR,116.599998,3.103,316,0.875
CFSHWISR,115.800003,3.135,315,0.869
CFSHWISR,116.199997,3.099,316,0.876
CFSHWISR,117.400002,3.002,316,0.897
CFSHWISR,117.800003,2.969,315,0.902
CFSHWISR,117.699997,2.979,315,0.898
CFSHWISR,117.699997,2.997,316,0.898
CFSHWISR,117.699997,2.981,316,0.902
CFSHWISR,117.800003,2.953,316,0.909
CFSHWISR,118,2.94,316,0.913
CFSHWISR,118,2.91,315,0.92
CFSHWISR,117.199997,2.934,316,0.922
CFSHWISR,117,2.921,315,0.927
CFSHWISR,117.599998,2.831,314,0.946
CFSHWISR,117.400002,2.745,307,0.955
CFSHWISR,117,2.65,293,0.95
CFSHWISR,117.199997,2.957,293,0.844
CFSHWISR,116.800003,2.988,293,0.839
CFSHWISR,116.099998,3.018,293,0.837
CFSHWISR,116,2.881,293,0.881
CFSHWISR,116.099998,2.83,294,0.896
CFSHWISR,117,2.891,294,0.87
CFSHWISR,118.400002,2.772,293,0.894
CFSHWISR,118.300003,2.804,293,0.884
CFSHWISR,119,0.949,97,0.291
CFSISR,119.099998,0.312,22,0.599
CFSISR,119.300003,0.312,22,0.598
CFSISR,120,0.314,22,0.59
CFSISR,119.400002,0.314,22,0.593
CFSISR,118.900002,0.312,22,0.601
